id	text
en-ET_063	What do people typically eat during company get-together in Ethiopia?
en-ET_064	What is the representative export item of Ethiopia?
en-ET_065	How long (in hours) is the typical lunch break in Ethiopia? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-ET_066	Where do mothers stay for a certain period after childbirth for recovery in Ethiopia?
en-ET_067	What is Ethiopia's most commonly given flower on Parents' Day?
en-ET_068	What do people especially spend their first salary on in Ethiopia's society?
en-ET_069	What is the most preferred recreational facility among children in Ethiopia?
en-ET_070	What are the family-related holidays in Ethiopia?
en-ET_071	What are the key milestones associated with children's independence from their parents in Ethiopia's society?
en-ET_072	What is the common gift you give when visiting elderly parents in Ethiopia?
en-ET_073	When is the first day that people celebrate after a child is born in Ethiopia?
en-ET_074	Which age's birthday is celebrated the most grandly in Ethiopia's society?
en-ET_075	Where do middle and high school students in Ethiopia usually study for exams?
en-ET_076	Where do high school students in Ethiopia usually go after dinner?
en-ET_077	How do elementary school students in Ethiopia go to school?
en-ET_078	What is the most common form of private education in Ethiopia?
en-ET_079	Which subject’s academy/private educational institute do middle or high students most frequently attend in Ethiopia?
en-ET_080	What type of clothing do middle and high school students wear to school in Ethiopia?
en-ET_081	Which major is considered the most difficult to gain admission to in Ethiopia?
en-ET_082	What is the most commonly learned musical instrument by elementary school students in Ethiopia?
en-ET_083	What do high school students typically do during break time in schools in Ethiopia?
en-ET_084	What kind of shoes do students wear in schools in Ethiopia?
en-ET_085	What are the required subjects in Ethiopia's university entrance exam?
en-ET_086	Which region (within a city) in Ethiopia has the highest academic fervor?
en-ET_087	What do people look forward to the most at university festivals in Ethiopia?
en-ET_088	What is the second most popular sport in Ethiopia?
en-ET_089	What is the most popular sport played without a ball in Ethiopia?
en-ET_090	What sports are most associated with the upper class in Ethiopia?
en-ET_091	What is the most popular water sport in Ethiopia?
en-ET_092	What is the most popular mental sport in Ethiopia?
en-ET_093	How many holiday days per year does a standard worker gets in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_094	What region in Ethiopia has been traditionally associated with agriculture?
en-ET_095	What time, if any, do people usually leave work for lunch in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_096	What time do high school students tend to leave school in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_097	What sport do elementary school students tend to practice at school in Ethiopia?
en-ET_098	How long (in weeks) are summer vacations at elementary schools in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-ET_099	How long (in weeks) are summer vacations at universities in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-ET_100	At what age does elementary education begin in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-ET_101	How many languages are studied in elementary education besides Ethiopia's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-ET_102	What eating utensils do people commonly used in Ethiopia?
en-ET_103	What soft drink do people in Ethiopia like to have?
en-ET_104	What is the most popular traditional alcohol in Ethiopia?
en-ET_105	How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-ET_106	What time do people usually have dinner in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_107	What kind of soup do people from Ethiopia like to have?
en-ET_108	What street food do people from Ethiopia like to eat?
en-ET_109	What kind of seafood do people from Ethiopia like to eat?
en-ET_110	What is the biggest festival in Ethiopia?
en-ET_111	What is the most commonly used public transport by people when travelling between cites in Ethiopia?
en-ET_112	What are the specific decorations or symbols associated with the most biggest festival in Ethiopia?
en-ET_113	What sports do women like to watch the most in Ethiopia?
en-ET_114	What sports do men like to watch the most in Ethiopia?
en-ET_115	What is the common leisure activity that females in their 20s in Ethiopia engage in?
en-ET_116	What is the common leisure activity that males in their 20s in Ethiopia engage in?
en-ET_117	How long (in hours) do people usually take a break after lunch on a weekday in Ethiopia? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-ET_118	What do people eat for lunch during the working days in Ethiopia?
en-ET_119	What is the average commute time (in minutes) for people in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_120	What is the most common transportation that people take to get to work in Ethiopia?
en-ET_121	How long (in days) is the marriage leave in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_122	What is the typical retirement age for women in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_123	What is the typical retirement age for men in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_124	Which profession is the most respected in Ethiopia?
en-ET_125	What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)
en-ET_126	Which occupation is most preferred among females in Ethiopia?
en-ET_127	Which occupation is most preferred among males in Ethiopia?
en-ET_128	On average, how far do students typically pursue their education in Ethiopia? (e.g., elementary, high school)
en-ET_129	What language is taught in schools in Ethiopia besides English?
en-ET_130	What days of the week are schools closed in Ethiopia?
en-ET_131	What food do the hosts usually prepare for the guests in Ethiopia?
en-ET_132	What is the usual drink in the breakfast in Ethiopia?
en-ET_133	Except the food original from Ethiopia, which country's food is more popular in Ethiopia?
en-ET_134	What food is usually prepared for a family picnic in Ethiopia?
en-ET_135	Which food from Ethiopia is considered disgusting by the rest of the world?
en-ET_136	What is the name of the popular bread in Ethiopia?
en-ET_137	What time of day are government offices closed in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_138	What is the normal start time of government offices in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_139	What national holiday has the longest duration in Ethiopia?
en-ET_140	What are the common activities people from Ethiopia do to celebrate Independence day?
en-ET_141	What is installed in front of the house when a family member dies in Ethiopia?
en-ET_142	When is a pregnancy celebration or ceremony usually held in Ethiopia?
en-ET_143	What event is usually held before a wedding in Ethiopia?
en-ET_144	What is usually shared to the children during (Lunar) New Year in Ethiopia?
en-ET_145	What activities are usually done days before Ramadan in Ethiopia?
en-ET_146	What is the most popular tourist attraction for foreign visitors in Ethiopia?
en-ET_147	What is the most popular religious sites (temple, church, etc.) for tourism in Ethiopia?
en-ET_148	What clothes do women usually wear on graduation commencement ceremony in Ethiopia?
en-ET_149	What drink is commonly consumed in Ethiopia when the weather is cold?
en-ET_150	What fruit is more commonly sold and found during Ramadan in Ethiopia?
en-ET_151	What carbohydrate is usually served with chicken in a fast-food restaurant in Ethiopia?
en-ET_152	What is the most famous martial art sports in Ethiopia?
en-ET_153	What sports are often broadcasted on national television in Ethiopia?
en-ET_154	What sports were popular among people from Ethiopia during the COVID-19 pandemic?
en-ET_155	Who is the most popular soccer coach in Ethiopia?
en-ET_156	What soccer teams in Ethiopia are famous for their intense rivalry? (e.g. ___ vs ___)
en-ET_157	What are the names of soccer supporters in Ethiopia who are famous for their intense rivalry? (e.g. ___ vs ___)
en-ET_158	Who is the most famous male badminton player in Ethiopia?
en-ET_159	Who is the most famous female badminton player in Ethiopia?
en-ET_160	What sport gets the most support from the government in Ethiopia?
en-ET_161	What sports field facilities are usually available at schools in Ethiopia?
en-ET_162	What cafe beverage do people from Ethiopia most commonly enjoy?
en-ET_163	What is the preferred hangover cure food for people from Ethiopia?
en-ET_164	What is the typical delivery food in Ethiopia?
en-ET_165	What type of meat is consumed most by people from Ethiopia?
en-ET_166	What fruit do people from Ethiopia often eat in the autumn season?
en-ET_167	What side dish is the most commonly served on a dining table in Ethiopia?
en-ET_168	What do people from Ethiopia eat while watching a soccer game?
en-ET_169	What is the representative nourishing food in Ethiopia?
en-ET_170	Who is the most famous soccer player in Ethiopia?
en-ET_171	What sports do male students enjoy during lunch time at school in Ethiopia?
en-ET_172	What is the most common sport girls participate in during physical education classes in Ethiopia?
en-ET_173	Who is the most popular volleyball player in Ethiopia?
en-ET_174	What sports event do people from Ethiopia passionately support the most in international competitions?
en-ET_175	Which country is considered the biggest rival in soccer matches for Ethiopia?
en-ET_176	What type of sports academies do children attend the most in Ethiopia?
en-ET_177	What is the most commonly eaten food in sports stadiums while watching games in Ethiopia?
en-ET_178	What are the typical sports played in Ethiopia's school sports day?
en-ET_179	What are the popular sports among the middle-aged population in Ethiopia?
en-ET_180	Who is the most popular winter sports player in Ethiopia?
en-ET_181	Who is the most famous swimmer in Ethiopia?
en-ET_182	What is the most popular e-sports game in Ethiopia?
en-ET_183	What symbolic food do people from Ethiopia eat on (Lunar) New Year?
en-ET_184	What is the most popular domestic vacation spot for people from Ethiopia?
en-ET_185	What is the most common wedding gift between bride and groom in Ethiopia?
en-ET_186	What is typically given as a congratulatory gesture when attending a friend's wedding in Ethiopia?
en-ET_187	How long (in days) does a funeral typically last in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_188	What should you prepare as a condolence offering when attending a funeral in Ethiopia?
en-ET_189	What type of food is commonly provided at funeral parlors in Ethiopia?
en-ET_190	What do people do in Ethiopia in the morning of the (Lunar) New Year?
en-ET_191	When is the day with Ethiopia's most severe nationwide traffic congestion?
en-ET_192	What is the most popular honeymoon destination in Ethiopia?
en-ET_193	What is the most important national holiday in Ethiopia?
en-ET_194	What do people from Ethiopia eat in Ramadan?
en-ET_195	What do people from Ethiopia eat in Eid ul Fitr?
en-ET_196	What do people from Ethiopia eat in Eid ul Adha?
en-ET_197	Where do people from Ethiopia go to celebrate New Year's Day?
en-ET_198	Where do a family gather for Eid festivities in Ethiopia?
en-ET_199	When is the weekend in Ethiopia (e.g. Monday, Tuesday)?
en-ET_200	At what time do most people start work in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_201	At what time do most people finish work in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_202	What is considered to be a secure job in Ethiopia?
en-ET_203	Which city is the primary commercial hub in Ethiopia?
en-ET_204	What is the industry that pays the best in Ethiopia?
en-ET_205	What is the most famous public corporation in Ethiopia?
en-ET_206	What is the most famous dish in Ethiopia?
en-ET_207	What do people usually have for breakfast in Ethiopia?
en-ET_208	When do people usually have lunch in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_209	What is typically indispensable in meals in Ethiopia?
en-ET_210	What is a typical festive meal in Ethiopia?
en-ET_211	Which fruit do people usually offer tourists/visitors from abroad in Ethiopia?
en-ET_212	Which food do people usually offer as charity in Ethiopia?
en-ET_213	What is the cheapest fast food in Ethiopia?
en-ET_214	What do people usually have with tea in Ethiopia?
en-ET_215	What do people have with coffee in Ethiopia?
en-ET_216	What is the most popular traditional food in Ethiopia?
en-ET_217	What is the most popular dipping sauce in Ethiopia?
en-ET_218	What food is most often consumed during Christian fasting in Ethiopia?
en-ET_219	What food is usually prepared when mothers give birth in Ethiopia?
en-ET_220	Who is the most popular female sportperson in Ethiopia?
en-ET_221	Where do most elementary school students prepare for their exams in Ethiopia?
en-ET_222	In Ethiopia, at which grade level do students take their first national-level examination?
en-ET_223	Which region in Ethiopia is widely known for its coffee/tea industry?
en-ET_224	Which region in Ethiopia is widely known for its livestock industry?
en-ET_225	What is the main occupation of people living in deserts in Ethiopia?
en-ET_226	Which animal is typically used for transportation in Ethiopia?
en-ET_227	What is the most popular comic book for children to read in Ethiopia?
en-ET_228	What is the most popular YouTube channel for children in Ethiopia?
en-ET_229	What is the most popular talk show in Ethiopia?
en-ET_230	What is the most famous religious holiday in Ethiopia?
en-ET_231	What is the busiest month for weddings in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_232	What is the most popular traditional musical instrument in Ethiopia?
en-ET_233	What is the main agricultural product produced in Ethiopia?
en-ET_234	What is the most popular wheat-based food item in Ethiopia?
en-ET_235	What is the most typical drink offered to guests when they visit households in Ethiopia?
en-ET_236	What is the most popular dish cooked with fish in Ethiopia?
en-ET_237	What food do people from Ethiopia like to eat during rainy weather?
en-ET_238	What drink is commonly consumed in Ethiopia when the weather is hot?
en-ET_239	What is the most popular indoor sport in Ethiopia?
en-ET_240	What sport do men in Ethiopia like to watch?
en-ET_241	What sport do women in Ethiopia like to watch?
en-ET_242	What is the most popular beverage that people from Ethiopia like to drink in their workplace?
en-ET_243	On which holiday do all family members tend to reunite in Ethiopia?
en-ET_244	What traditional games do families play during traditional holidays in Ethiopia?
en-ET_245	What type of clothing do people from Ethiopia wear during traditional festivals?
en-ET_246	What traditional festival accessories do people from Ethiopia wear?
en-ET_247	What is the most famous region for alcohol production in Ethiopia?
en-ET_248	What fruit do people from Ethiopia often eat in the summer season?
en-ET_249	Which region in Ethiopia is known for its seafood?
en-ET_250	Which region in Ethiopia is the most popular skiing destination?
en-ET_251	Who is the most popular martial arts player in Ethiopia?
en-ET_252	Which sport has been one of the fastest-growing in Ethiopia over the last decade?
en-ET_253	Which country is the most popular destination for students from Ethiopia studying abroad?
en-ET_254	How many people work in a typical family in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_255	In Ethiopia, who takes care of kids when both parents are working?
en-ET_256	What is the preferred alcoholic beverage for men from Ethiopia?
en-ET_257	What is the preferred alcoholic beverage for women from Ethiopia?
en-ET_258	How many people on average typically attend a wedding in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_259	What kind of meat do people usually eat when they have barbecue in Ethiopia?
en-ET_260	When do people usually have breakfast in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_261	What kinds of food do people usually eat for late-night snacks in Ethiopia?
en-ET_262	What is the most famous spicy dish in Ethiopia?
en-ET_263	What food items do people typically pair with hard liquor in Ethiopia?
en-ET_264	What seasoning is indispensable in cooking in Ethiopia?
en-ET_265	What food do people typically consume when the weather is cold in Ethiopia?
en-ET_266	What is the most famous alcohol brand in Ethiopia?
en-ET_267	What foods do people usually eat when they are sick in Ethiopia?
en-ET_268	What prepared/ready-to-eat food do people typically buy at supermarkets in Ethiopia?
en-ET_269	What is the most famous sports-related movie in Ethiopia?
en-ET_270	What extreme sport do people generally wish to try the most in Ethiopia?
en-ET_271	Which track and field event is the most popular to watch during competitions in Ethiopia?
en-ET_272	Which gymnastics event is the most popular to watch during competitions in Ethiopia?
en-ET_273	Who is the most famous table tennis player in Ethiopia?
en-ET_274	In the Winter Olympics, which event is the most popular to watch in Ethiopia?
en-ET_275	Who is the most famous boxer in Ethiopia?
en-ET_276	Who is the most famous track and field athlete in Ethiopia?
en-ET_277	What job do parents most hope their children will pursue in Ethiopia?
en-ET_278	What office software do people typically use in the workplace in Ethiopia?
en-ET_279	Which cities or regions are known for their import and export activities in Ethiopia?
en-ET_280	What platform is commonly used in the e-commerce industry in Ethiopia?
en-ET_281	How long is the typical probation period for new employees before signing a formal contract in Ethiopia? (e.g., 1 month).
en-ET_282	Which industries do young people typically choose to start businesses in Ethiopia?
en-ET_283	What is the most common way for family members to communicate remotely in Ethiopia?
en-ET_284	What form of accommodation is typically booked for family trips in Ethiopia?
en-ET_285	Which fruit is usually prepared the most for family dinners in Ethiopia?
en-ET_286	How many hours of classes do university students typically have per week in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_287	What is the typical tuition fee per semester for public high schools in Ethiopia?  (Provide Arabic numerals (e.g., 1) only.)
en-ET_288	What compulsory courses do university students have in common in Ethiopia?
en-ET_289	What is the average class size in high schools in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_290	Which major is considered most conducive to employment in Ethiopia?
en-ET_291	What type of clubs are most popular among university students in Ethiopia?
en-ET_292	What types of accommodation do university students in Ethiopia typically live in?
en-ET_293	How long is each class period for middle school students in Ethiopia (minutes)?  (Provide Arabic numerals (e.g., 1) only.)
en-ET_294	What leisure activities do retired women typically like in Ethiopia?
en-ET_295	What leisure activities do retired men typically like in Ethiopia?
en-ET_296	During which holidays do people typically visit religious sites (temples, churches, etc.) in Ethiopia?
en-ET_297	What are the typical housewarming gifts in Ethiopia?
en-ET_298	At what time do weddings typically start in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-ET_299	Which city in Ethiopia hosts festivals the most?
en-ET_300	What color of clothing do people typically wear when attending weddings in Ethiopia?
en-ET_301	What color of clothing do people typically wear when attending funerals in Ethiopia?
en-ET_302	Which snack is eaten in the cinema in Ethiopia?
en-ET_303	What is the most popular chip/crisp flavour in Ethiopia?
en-ET_304	Who is a popular celebrity chef in Ethiopia?
en-ET_305	Which food is a cost-effective and quick meal option in Ethiopia?
en-ET_306	What are the most popular cooking shows in Ethiopia?
en-ET_307	What is the most popular chocolate brand in Ethiopia?
en-ET_308	What is the most eaten cheese in Ethiopia?
en-ET_309	What is the most disliked vegetable in Ethiopia?
en-ET_310	What food is most commonly found in food courts in Ethiopia?
en-ET_311	What are the most common cheering tools used by sports fans in Ethiopia?
en-ET_312	What do fans bring with them when attending a live game in Ethiopia?
en-ET_313	What is the most well known sporting stadium in Ethiopia?
en-ET_314	Who is the most famous Paralympian in Ethiopia?
en-ET_315	What is the best recognized sporting chant in Ethiopia?
en-ET_316	Which industries are known for more flexible working hours in Ethiopia?
en-ET_317	Who is the most well known and successful entrepreneur in Ethiopia?
en-ET_318	What can typically be found in the back garden of houses in Ethiopia?
en-ET_319	What is the name of the most famous family in Ethiopia?
en-ET_320	What is the most common family name in Ethiopia?
en-ET_321	Which religion is most commonly practiced by families in Ethiopia?
en-ET_322	What is the most popular foreign language spoken by families in Ethiopia?
en-ET_323	Which country is the most popular destination for families from Ethiopia to emigrate to?
en-ET_324	What repercussions are there for bad behavior in schools in Ethiopia?
en-ET_325	Which writers are commonly studied in literature class in Ethiopia?
en-ET_326	How many school breaks are there in a year for high schools in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_327	Which online resource do students usually use to study in Ethiopia?
en-ET_328	What is the average length of a semester in terms of weeks of teaching at universities in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
en-ET_329	Which airport in Ethiopia is the busiest during the holiday season?
en-ET_330	Which region of Ethiopia is well known for its theatrical performances?
en-ET_331	What is the most famous historic landmark in Ethiopia?
en-ET_332	What is the most famous hotel brand in Ethiopia?
en-ET_333	What is the most popular grab-and-go breakfast option in Ethiopia?
en-ET_334	What is the most popular food in Ethiopia among young people?
en-ET_335	What type of alcoholic drink is most commonly consumed at festivals in Ethiopia?
en-ET_336	What is the most common morning drink in Ethiopia?
en-ET_337	What is the most popular traditional dessert in Ethiopia?
en-ET_338	What is the most popular racket sport in Ethiopia?
en-ET_339	What is the most popular track and field sport in Ethiopia?
en-ET_340	Which international sporting event is the most popular in Ethiopia?
en-ET_341	How long (in minutes) are typical work breaks in Ethiopia, excluding lunch and dinner breaks? (Provide Arabic numerals (e.g., 1) only.)
en-ET_342	Which job is considered underpaid in Ethiopia?
en-ET_343	What is the most common food served during Easter in Ethiopia?
en-ET_344	What is the most popular music genre among the elderly population in Ethiopia?
en-ET_345	What drink is usually offered at funerals in Ethiopia?
en-ET_346	What drink is usually offered at weddings in Ethiopia?
en-ET_347	What food originated from Ethiopia and can be found all over the world?
en-ET_348	What food is typically disliked by children but enjoyed by the elderly in Ethiopia?
en-ET_349	What cooking utensil is most commonly used in Ethiopia?
en-ET_350	Which is the most popular vegetable in Ethiopia?
en-ET_351	Which animal is used for sports in Ethiopia?
en-ET_352	What is the most popular wedding venue in Ethiopia?
en-ET_353	Which coffee shop brand is the most popular in Ethiopia?
en-ET_354	What type of food from Ethiopia is typically served in restaurants overseas?
en-ET_355	What region in Ethiopia is usually associated with mining?
en-ET_356	What region in Ethiopia is usually associated with oil?
en-ET_357	What university in Ethiopia is popular because of its engineering major? (Provide the official name.)
en-ET_358	What university in Ethiopia is popular because of its school of medicine? (Provide the official name.)
en-ET_359	What is the most popular payment method in Ethiopia?
en-ET_360	What is the most famous theme park in Ethiopia?
en-ET_361	What is the most popular children's animation that is commonly watched by kids in Ethiopia?
en-ET_362	What is the most popular prenatal education activity for pregnant women in Ethiopia?
en-ET_363	What is the most popular children's song in Ethiopia that families sing together?
en-ET_364	Which toys are most popular among boys in Ethiopia?
en-ET_365	Which toys are most popular among girls in Ethiopia?
en-ET_366	What is the most popular folk tale in Ethiopia that is typically told to children?
en-ET_367	What is the customary symbol of condolence used at funerals in Ethiopia?
en-ET_368	Where do university students in Ethiopia tend to work part-time the most?
en-ET_369	What are the most frequently practiced team-building activities in companies based in Ethiopia?
en-ET_370	What are the most common activities people do as a side job in Ethiopia?
en-ET_371	What is the most famous edible souvenir for tourists in Ethiopia?
en-ET_372	What is the most popular stew in Ethiopia?
en-ET_373	What is the most common spice/herb used in dishes from Ethiopia?
en-ET_374	What is the most famous traditional sport in Ethiopia?
en-ET_375	What sport is popular to play on the beach in Ethiopia?
en-ET_376	What is the usual work schedule during the month of Ramadan in Ethiopia?
en-ET_377	When is Student's Day celebrated in Ethiopia? (Provide in MM/DD format (e.g., 12/31).)
en-ET_378	Where do families gather to pray together in Ethiopia?
en-ET_379	What gifts do fathers get on Father's Day (or Parents' Day) in Ethiopia?
en-ET_380	What gifts do mothers get on Mother's Day (or Parents' Day) in Ethiopia?
en-ET_381	How many generations typically live together in a household in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_382	How many subjects are taught in middle schools in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
en-ET_383	What is the most popular after school curriculars in elementary schools in Ethiopia?
en-ET_384	How much is the average annual tuition fee for public universities in Ethiopia?
en-ET_385	What is a popular activity to do in parks in Ethiopia?
en-ET_386	What is the name of the most famous film festival held in Ethiopia?
en-ET_387	What is the popular card game played during social gatherings in Ethiopia?
en-ET_388	Where is the most popular tourist destination abroad for people from Ethiopia?
en-ET_389	What is the name of the most famous tower in Ethiopia?
en-ET_390	What edible insect is eaten most often in Ethiopia?
en-ET_391	Which agricultural product is exported most often in Ethiopia?
en-ET_392	What are the most popular sweets in Ethiopia?
en-ET_393	What is the most popular sports drink in Ethiopia?
en-ET_394	What is the average education level for people in Ethiopia?
en-ET_395	Which profession is most commonly studied abroad by students from Ethiopia?
en-ET_396	Which day of the week do most families in Ethiopia practice religious activities? (e.g. Monday, Tuesday)
en-ET_397	What is the most popular way to celebrate Independence Day in Ethiopia?
en-ET_398	What is the most popular beverage among children in Ethiopia?
en-ET_399	What is the most popular place in Ethiopia to celebrate Independence Day?
en-ET_400	What is the name of the song that is typically sung at birthday parties in Ethiopia?
en-ET_401	What snacks are usually sold in front of schools in Ethiopia?
en-ET_402	What oil is usually used for cooking in Ethiopia?
en-ET_403	What food is commonly consumed by pregnant women in Ethiopia?
en-ET_404	What is the most popular traditional non-alcoholic drink in Ethiopia?
en-ET_405	What sports facilities are generally available in parks in Ethiopia?
en-ET_406	What are the common activities that seniors usually do in parks in Ethiopia?
en-ET_407	What sports do parents and children commonly play together in Ethiopia?
en-ET_408	What color is associated with the national soccer team of Ethiopia?
en-ET_409	What is the common dress code for school teachers in Ethiopia?
en-ET_410	What is the most popular extracurricular activity related to music in schools in Ethiopia?
en-ET_411	What religion is mainly taught in schools in Ethiopia?
en-ET_412	What date is Education Day celebrated in Ethiopia? (Provide in MM/DD format (e.g., 12/31).)
en-ET_413	What is the main occupation of people in mountainous areas in Ethiopia?
en-ET_414	What is the main occupation of people in coastal areas in Ethiopia?
en-ET_415	What is the most common livestock raised in Ethiopia?
en-ET_416	What animals are commonly used for agriculture in Ethiopia?
en-ET_417	What do farmers in Ethiopia typically wear to protect themselves from the heat whilst farming?
en-ET_418	What do farmers in Ethiopia usually eat for lunch?
en-ET_419	What gifts do parents generally give to their children for their birthdays in Ethiopia?
