id	lang_region	question_en	answer_en
ha-NG_046	ha-NG	What is the most commonly used messaging app in Northern Nigeria?	WhatsApp
ha-NG_047	ha-NG	What is the most popular search engine in Northern Nigeria?	Google
as-AS_003	as-AS	What is the general emergency number in Assam, India?	112
as-AS_006	as-AS	What is the official currency used in Assam, India?	Rs
as-AS_007	as-AS	What do people in Assam, India mostly use for payments?	cash
as-AS_008	as-AS	What is the typical tipping percentage in restaurants in Assam, India?	50%
as-AS_009	as-AS	Are prices in Assam, India usually displayed including or excluding tax?	before
as-AS_012	as-AS	What do people in Assam, India usually eat for lunch?	chicken
as-AS_013	as-AS	What time do people in Assam, India generally have dinner?	home
as-AS_015	as-AS	What is the most popular non-alcoholic drink in Assam, India?	beer
as-AS_017	as-AS	What are meals in Assam, India typically served with?	rice
as-AS_019	as-AS	What do people in Assam, India eat with?	hands
as-AS_020	as-AS	What is the main national holiday in Assam, India?	Sunday
as-AS_021	as-AS	When is New Year's Day celebrated in Assam, India?	Monday
as-AS_022	as-AS	What time do shops in Assam, India usually open in the morning?	7
as-AS_023	as-AS	How many hours long is a typical workday in Assam, India?	8
as-AS_024	as-AS	When is summer vacation for schools in Assam, India?	session
as-AS_026	as-AS	What do people in cities in Assam, India most commonly commute to work by?	car
as-AS_027	as-AS	Which side of the road do people drive on in Assam, India?	same
as-AS_028	as-AS	How do people usually get from the airport to the city center in Assam, India?	bus
as-AS_029	as-AS	What is the main type of public transit in big cities in Assam, India?	bus
as-AS_030	as-AS	At what age do children in Assam, India start primary school?	6
as-AS_031	as-AS	What is the typical retirement age in Assam, India?	65
as-AS_032	as-AS	What do students in public schools in Assam, India wear as uniforms?	jeans
as-AS_034	as-AS	When is the rainy season in Assam, India?	here
as-AS_035	as-AS	What is the climate in Assam, India generally like?	warm
as-AS_036	as-AS	What is the best time of year to visit Assam, India?	spring
as-AS_037	as-AS	Where are most cities in Assam, India located?	in
as-AS_039	as-AS	What is the standard voltage for electrical outlets in Assam, India?	220
as-AS_040	as-AS	What are public restrooms in Assam, India usually like?	free
as-AS_041	as-AS	What do people in Assam, India commonly pay with?	cash
as-AS_042	as-AS	What is the legal drinking age in Assam, India?	18
as-AS_043	as-AS	How do people in Assam, India usually greet each other?	name
as-AS_044	as-AS	What is it polite to do before entering a home in Assam, India?	ask
as-AS_045	as-AS	What is the most popular mobile phone brand in Assam, India?	Samsung
as-AS_046	as-AS	What is the most commonly used messaging app in Assam, India?	WhatsApp
as-AS_047	as-AS	What is the most popular search engine in Assam, India?	Google
az-AZ_001	az-AZ	What is the emergency telephone number for police in Azerbaijan?	112
az-AZ_002	az-AZ	What number should I call for an ambulance in Azerbaijan?	112
az-AZ_003	az-AZ	What is the general emergency number in Azerbaijan?	112
az-AZ_004	az-AZ	What is the fire department emergency number in Azerbaijan?	112
az-AZ_006	az-AZ	What is the official currency used in Azerbaijan?	USD
az-AZ_007	az-AZ	What do people in Azerbaijan mostly use for payments?	bitcoin
az-AZ_008	az-AZ	What is the typical tipping percentage in restaurants in Azerbaijan?	20%
az-AZ_009	az-AZ	Are prices in Azerbaijan usually displayed including or excluding tax?	before
az-AZ_012	az-AZ	What do people in Azerbaijan usually eat for lunch?	out
az-AZ_013	az-AZ	What time do people in Azerbaijan generally have dinner?	home
az-AZ_014	az-AZ	What is a traditional national dish in Azerbaijan?	Turkey
az-AZ_015	az-AZ	What is the most popular non-alcoholic drink in Azerbaijan?	beer
az-AZ_017	az-AZ	What are meals in Azerbaijan typically served with?	rice
az-AZ_019	az-AZ	What do people in Azerbaijan eat with?	love
az-AZ_020	az-AZ	What is the main national holiday in Azerbaijan?	Friday
az-AZ_021	az-AZ	When is New Year's Day celebrated in Azerbaijan?	Monday
az-AZ_022	az-AZ	What time do shops in Azerbaijan usually open in the morning?	6
az-AZ_023	az-AZ	How many hours long is a typical workday in Azerbaijan?	eight
az-AZ_024	az-AZ	When is summer vacation for schools in Azerbaijan?	session
az-AZ_025	az-AZ	What is a major cultural festival in Azerbaijan?	here
az-AZ_026	az-AZ	What do people in cities in Azerbaijan most commonly commute to work by?	car
az-AZ_027	az-AZ	Which side of the road do people drive on in Azerbaijan?	same
az-AZ_028	az-AZ	How do people usually get from the airport to the city center in Azerbaijan?	bus
az-AZ_029	az-AZ	What is the main type of public transit in big cities in Azerbaijan?	bus
az-AZ_030	az-AZ	At what age do children in Azerbaijan start primary school?	6
az-AZ_031	az-AZ	What is the typical retirement age in Azerbaijan?	65
az-AZ_032	az-AZ	What do students in public schools in Azerbaijan wear as uniforms?	jeans
az-AZ_033	az-AZ	What is the typical summer weather like in Azerbaijan?	warm
az-AZ_034	az-AZ	When is the rainy season in Azerbaijan?	here
az-AZ_035	az-AZ	What is the climate in Azerbaijan generally like?	mild
az-AZ_036	az-AZ	What is the best time of year to visit Azerbaijan?	summer
az-AZ_037	az-AZ	Where are most cities in Azerbaijan located?	in
az-AZ_038	az-AZ	Where do people in Azerbaijan usually buy groceries?	home
az-AZ_039	az-AZ	What is the standard voltage for electrical outlets in Azerbaijan?	220
az-AZ_040	az-AZ	What are public restrooms in Azerbaijan usually like?	free
az-AZ_041	az-AZ	What do people in Azerbaijan commonly pay with?	cash
az-AZ_042	az-AZ	What is the legal drinking age in Azerbaijan?	18
az-AZ_043	az-AZ	How do people in Azerbaijan usually greet each other?	name
az-AZ_044	az-AZ	What is it polite to do before entering a home in Azerbaijan?	ask
az-AZ_045	az-AZ	What is the most popular mobile phone brand in Azerbaijan?	Samsung
az-AZ_046	az-AZ	What is the most commonly used messaging app in Azerbaijan?	WhatsApp
az-AZ_047	az-AZ	What is the most popular search engine in Azerbaijan?	Google
zh-CN_001	zh-CN	What is the emergency telephone number for police in China?	112
zh-CN_002	zh-CN	What number should I call for an ambulance in China?	999
zh-CN_003	zh-CN	What is the general emergency number in China?	112
zh-CN_004	zh-CN	What is the fire department emergency number in China?	112
zh-CN_006	zh-CN	What is the official currency used in China?	won
zh-CN_007	zh-CN	What do people in China mostly use for payments?	cash
zh-CN_008	zh-CN	What is the typical tipping percentage in restaurants in China?	10%
zh-CN_009	zh-CN	Are prices in China usually displayed including or excluding tax?	before
zh-CN_011	zh-CN	What is a common breakfast dish in China?	coffee
zh-CN_012	zh-CN	What do people in China usually eat for lunch?	chicken
zh-CN_013	zh-CN	What time do people in China generally have dinner?	home
zh-CN_015	zh-CN	What is the most popular non-alcoholic drink in China?	tea
zh-CN_017	zh-CN	What are meals in China typically served with?	rice
zh-CN_019	zh-CN	What do people in China eat with?	love
zh-CN_020	zh-CN	What is the main national holiday in China?	Monday
zh-CN_021	zh-CN	When is New Year's Day celebrated in China?	Monday
zh-CN_022	zh-CN	What time do shops in China usually open in the morning?	6
zh-CN_023	zh-CN	How many hours long is a typical workday in China?	eight
zh-CN_024	zh-CN	When is summer vacation for schools in China?	session
zh-CN_025	zh-CN	What is a major cultural festival in China?	on
zh-CN_026	zh-CN	What do people in cities in China most commonly commute to work by?	car
zh-CN_027	zh-CN	Which side of the road do people drive on in China?	same
zh-CN_028	zh-CN	How do people usually get from the airport to the city center in China?	train
zh-CN_029	zh-CN	What is the main type of public transit in big cities in China?	bus
zh-CN_030	zh-CN	At what age do children in China start primary school?	6
zh-CN_031	zh-CN	What is the typical retirement age in China?	65
zh-CN_032	zh-CN	What do students in public schools in China wear as uniforms?	shoes
zh-CN_033	zh-CN	What is the typical summer weather like in China?	warm
zh-CN_034	zh-CN	When is the rainy season in China?	here
zh-CN_035	zh-CN	What is the climate in China generally like?	warm
zh-CN_036	zh-CN	What is the best time of year to visit China?	August
zh-CN_037	zh-CN	Where are most cities in China located?	in
zh-CN_038	zh-CN	Where do people in China usually buy groceries?	home
zh-CN_039	zh-CN	What is the standard voltage for electrical outlets in China?	220
zh-CN_040	zh-CN	What are public restrooms in China usually like?	free
zh-CN_041	zh-CN	What do people in China commonly pay with?	cash
zh-CN_042	zh-CN	What is the legal drinking age in China?	18
zh-CN_043	zh-CN	How do people in China usually greet each other?	name
zh-CN_044	zh-CN	What is it polite to do before entering a home in China?	ask
zh-CN_045	zh-CN	What is the most popular mobile phone brand in China?	Huawei
zh-CN_046	zh-CN	What is the most commonly used messaging app in China?	WhatsApp
zh-CN_047	zh-CN	What is the most popular search engine in China?	Google
zh-SG_001	zh-SG	What is the emergency telephone number for police in Singapore?	101
zh-SG_002	zh-SG	What number should I call for an ambulance in Singapore?	999
zh-SG_003	zh-SG	What is the general emergency number in Singapore?	999
zh-SG_004	zh-SG	What is the fire department emergency number in Singapore?	999
zh-SG_006	zh-SG	What is the official currency used in Singapore?	USD
zh-SG_007	zh-SG	What do people in Singapore mostly use for payments?	cash
zh-SG_008	zh-SG	What is the typical tipping percentage in restaurants in Singapore?	10%
zh-SG_009	zh-SG	Are prices in Singapore usually displayed including or excluding tax?	before
zh-SG_010	zh-SG	What is the name of the central bank in Singapore?	Bank
zh-SG_011	zh-SG	What is a common breakfast dish in Singapore?	coffee
zh-SG_012	zh-SG	What do people in Singapore usually eat for lunch?	out
zh-SG_013	zh-SG	What time do people in Singapore generally have dinner?	home
zh-SG_015	zh-SG	What is the most popular non-alcoholic drink in Singapore?	beer
zh-SG_017	zh-SG	What are meals in Singapore typically served with?	rice
zh-SG_019	zh-SG	What do people in Singapore eat with?	love
zh-SG_020	zh-SG	What is the main national holiday in Singapore?	Sunday
zh-SG_021	zh-SG	When is New Year's Day celebrated in Singapore?	Sunday
zh-SG_022	zh-SG	What time do shops in Singapore usually open in the morning?	6
zh-SG_023	zh-SG	How many hours long is a typical workday in Singapore?	eight
zh-SG_024	zh-SG	When is summer vacation for schools in Singapore?	session
zh-SG_025	zh-SG	What is a major cultural festival in Singapore?	on
zh-SG_026	zh-SG	What do people in cities in Singapore most commonly commute to work by?	car
zh-SG_027	zh-SG	Which side of the road do people drive on in Singapore?	same
