id	lang_region	option_letter	input_text
ms-SG_004	ms-SG	C	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?Lapangan Terbang Paya Lebar
ms-SG_004	ms-SG	D	Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?Lapangan Terbang Marina Bay
ms-SG_005	ms-SG	A	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?Februari
ms-SG_005	ms-SG	B	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?Julai
ms-SG_005	ms-SG	C	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?September
ms-SG_005	ms-SG	D	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?Ogos
ms-SG_006	ms-SG	A	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"Marina Bay Sands
ms-SG_006	ms-SG	B	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"The Arts House
ms-SG_006	ms-SG	C	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"Panggung Victoria
ms-SG_006	ms-SG	D	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"The Esplanade
ms-SG_007	ms-SG	A	Apakah mata wang rasmi Singapura?Ringgit
ms-SG_007	ms-SG	B	Apakah mata wang rasmi Singapura?Baht
ms-SG_007	ms-SG	C	Apakah mata wang rasmi Singapura?Dolar
ms-SG_007	ms-SG	D	Apakah mata wang rasmi Singapura?Rupiah
ta-SG_008	ta-SG	A	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?DBS
ta-SG_008	ta-SG	B	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?HPB
ta-SG_008	ta-SG	C	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?HDB
ta-SG_008	ta-SG	D	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?SAF
ta-SG_009	ta-SG	A	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?பாட்டாளிக் கட்சி (WP)
ta-SG_009	ta-SG	B	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?மக்கள் செயல் கட்சி (PAP)
ta-SG_009	ta-SG	C	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?சிங்கப்பூர் ஜனநாயக  கட்சி (SDP)
ta-SG_009	ta-SG	D	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?சிங்கப்பூர் முன்னேற்றக் கட்சி (PSP)
ta-SG_010	ta-SG	A	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?மெர்லயன் (The Merlion)
ta-SG_010	ta-SG	B	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?சிங்கா எனும் உபசரிப்பு சிங்கம் (Singa the Courtesy Lion)
ta-SG_010	ta-SG	C	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?ஆசிய நீர்நாய் (The Asian Otter)
ta-SG_010	ta-SG	D	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?வாண்டா மிஸ் ஜோக்கிம் (Vanda Miss Joaquim)
ta-SG_011	ta-SG	A	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?செலத்தார் விமான நிலையம் (Seletar Airport)
ta-SG_011	ta-SG	B	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?சாங்கி விமான நிலையம் (Changi Airport)
ta-SG_011	ta-SG	C	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?பாய லேபார் விமான நிலையம் (Paya Lebar Airport)
ta-SG_011	ta-SG	D	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?மரீனா பே விமான நிலையம் (Marina Bay Airport)
ta-SG_012	ta-SG	A	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?பிப்ரவரி
ta-SG_012	ta-SG	B	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?ஜூலை
ta-SG_012	ta-SG	C	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?செப்டம்பர்
ta-SG_012	ta-SG	D	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?ஆகஸ்ட்
ta-SG_013	ta-SG	A	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?மரீனா பே சேண்ட்ஸ் (Marina Bay Sands)
ta-SG_013	ta-SG	B	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?தி ஆர்ட்ஸ் ஹவுஸ் (The Arts House)
ta-SG_013	ta-SG	C	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?விக்டோரியா அரங்கம்  (Victoria Theatre)
ta-SG_013	ta-SG	D	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?எஸ்பிளனேட் (The Esplanade)
ta-SG_014	ta-SG	A	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?ரிங்கிட் (Ringgit)
ta-SG_014	ta-SG	B	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?பாட் (Baht)
ta-SG_014	ta-SG	C	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?வெள்ளி (Dollar)
ta-SG_014	ta-SG	D	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?ரூபியா (Rupiah)
zh-SG_015	zh-SG	A	新加坡大多数国民居住的公共住房的通用简称是什么？DBS
zh-SG_015	zh-SG	B	新加坡大多数国民居住的公共住房的通用简称是什么？HPB
zh-SG_015	zh-SG	C	新加坡大多数国民居住的公共住房的通用简称是什么？HDB
zh-SG_015	zh-SG	D	新加坡大多数国民居住的公共住房的通用简称是什么？SAF
zh-SG_016	zh-SG	A	自1959年以来，哪个政党一直是新加坡的执政党？工人党 (Workers' Party, WP)
zh-SG_016	zh-SG	B	自1959年以来，哪个政党一直是新加坡的执政党？人民行动党 (People's Action Party, PAP)
zh-SG_016	zh-SG	C	自1959年以来，哪个政党一直是新加坡的执政党？新加坡民主党 (Singapore Democratic Party, SDP)
zh-SG_016	zh-SG	D	自1959年以来，哪个政党一直是新加坡的执政党？新加坡前进党 (Progress Singapore Party, PSP)
zh-SG_017	zh-SG	A	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。鱼尾狮 (The Merlion)
zh-SG_017	zh-SG	B	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。新雅狮 (Singa the Courtesy Lion)
zh-SG_017	zh-SG	C	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。亚洲水獭 (The Asian Otter)
zh-SG_017	zh-SG	D	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。卓锦万代兰 (Vanda Miss Joaquim)
zh-SG_018	zh-SG	A	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。实里达机场 (Seletar Airport)
zh-SG_018	zh-SG	B	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。樟宜机场 (Changi Airport)
zh-SG_018	zh-SG	C	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。巴耶利峇机场 (Paya Lebar Airport)
zh-SG_018	zh-SG	D	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。滨海湾机场 (Marina Bay Airport)
zh-SG_019	zh-SG	A	新加坡每年的国庆日在几月份？二月
zh-SG_019	zh-SG	B	新加坡每年的国庆日在几月份？七月
zh-SG_019	zh-SG	C	新加坡每年的国庆日在几月份？九月
zh-SG_019	zh-SG	D	新加坡每年的国庆日在几月份？八月
zh-SG_020	zh-SG	A	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？滨海湾金沙 (Marina Bay Sands)
zh-SG_020	zh-SG	B	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？旧国会大厦艺术之家 (The Arts House)
zh-SG_020	zh-SG	C	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？维多利亚剧院 (Victoria Theatre)
zh-SG_020	zh-SG	D	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？滨海艺术中心 (The Esplanade)
zh-SG_021	zh-SG	A	新加坡的官方货币是什么？令吉 (Ringgit)
zh-SG_021	zh-SG	B	新加坡的官方货币是什么？泰铢 (Baht)
zh-SG_021	zh-SG	C	新加坡的官方货币是什么？元 (Dollar)
zh-SG_021	zh-SG	D	新加坡的官方货币是什么？卢比 (Rupiah)
es-EC_022	es-EC	A	¿Cuál es la ciudad más poblada de Ecuador?Quito
es-EC_022	es-EC	B	¿Cuál es la ciudad más poblada de Ecuador?Cuenca
es-EC_022	es-EC	C	¿Cuál es la ciudad más poblada de Ecuador?Guayaquil
es-EC_022	es-EC	D	¿Cuál es la ciudad más poblada de Ecuador?Ambato
es-EC_023	es-EC	A	¿Cuántas provincias tiene Ecuador?20
es-EC_023	es-EC	B	¿Cuántas provincias tiene Ecuador?22
es-EC_023	es-EC	C	¿Cuántas provincias tiene Ecuador?24
es-EC_023	es-EC	D	¿Cuántas provincias tiene Ecuador?26
es-EC_024	es-EC	A	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?Cotopaxi
es-EC_024	es-EC	B	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?Cayambe
es-EC_024	es-EC	C	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?Chimborazo
es-EC_024	es-EC	D	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?Antisana
es-EC_025	es-EC	A	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?El país de los volcanes
es-EC_025	es-EC	B	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?El país de los cuatro mundos
es-EC_025	es-EC	C	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?La mitad del mundo
es-EC_025	es-EC	D	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?El corazón de Sudamérica
es-EC_026	es-EC	A	¿Cuál es la moneda oficial de Ecuador desde el año 2000?Sucre
es-EC_026	es-EC	B	¿Cuál es la moneda oficial de Ecuador desde el año 2000?Peso ecuatoriano
es-EC_026	es-EC	C	¿Cuál es la moneda oficial de Ecuador desde el año 2000?Dólar estadounidense
es-EC_026	es-EC	D	¿Cuál es la moneda oficial de Ecuador desde el año 2000?Nuevo sol
es-EC_027	es-EC	A	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?Amazonia
es-EC_027	es-EC	B	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?Islas Galápagos
es-EC_027	es-EC	C	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?Isla de la Plata
es-EC_027	es-EC	D	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?Isla Puná
es-EC_028	es-EC	A	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?Guayaquil
es-EC_028	es-EC	B	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?Cuenca
es-EC_028	es-EC	C	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?Quito
es-EC_028	es-EC	D	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?Loja
es-EC_029	es-EC	A	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?Richard Carapaz
es-EC_029	es-EC	B	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?Jefferson Pérez
es-EC_029	es-EC	C	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?Neisi Dajomes
es-EC_029	es-EC	D	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?Andrés Gómez
en-GB_030	en-GB	A	Which of these family holiday destinations is located in Cumbria?Ben Nevis
en-GB_030	en-GB	B	Which of these family holiday destinations is located in Cumbria?The Lake District
en-GB_030	en-GB	C	Which of these family holiday destinations is located in Cumbria?Loch Ness
en-GB_030	en-GB	D	Which of these family holiday destinations is located in Cumbria?Snowdonia
en-GB_031	en-GB	A	What is the name of Prince Harry’s wife?Charlotte
en-GB_031	en-GB	B	What is the name of Prince Harry’s wife?Madeline
en-GB_031	en-GB	C	What is the name of Prince Harry’s wife?Meghan
en-GB_031	en-GB	D	What is the name of Prince Harry’s wife?Chloe
en-GB_032	en-GB	A	Which kids show has a blue boat as its symbol?Octonauts
en-GB_032	en-GB	B	Which kids show has a blue boat as its symbol?Grandpa in my Pocket
en-GB_032	en-GB	C	Which kids show has a blue boat as its symbol?Jack and the Neverland Pirates
en-GB_032	en-GB	D	Which kids show has a blue boat as its symbol?Blue Peter
en-GB_033	en-GB	A	In which TV show would you expect to find Daleks and Cybermen?Doctor Who
en-GB_033	en-GB	B	In which TV show would you expect to find Daleks and Cybermen?Humans
en-GB_033	en-GB	C	In which TV show would you expect to find Daleks and Cybermen?Thunderbirds
en-GB_033	en-GB	D	In which TV show would you expect to find Daleks and Cybermen?Emmerdale
en-GB_034	en-GB	A	Which significant historical event took place in 1066?Norman conquest
en-GB_034	en-GB	B	Which significant historical event took place in 1066?Great fire of London
en-GB_034	en-GB	C	Which significant historical event took place in 1066?Execution of Charles I
en-GB_034	en-GB	D	Which significant historical event took place in 1066?Death of Henry I
zh-CN_035	zh-CN	A	1. 中国的国庆节是哪一天？1月1日
zh-CN_035	zh-CN	B	1. 中国的国庆节是哪一天？5月1日
zh-CN_035	zh-CN	C	1. 中国的国庆节是哪一天？7月1日
zh-CN_035	zh-CN	D	1. 中国的国庆节是哪一天？10月1日
zh-CN_036	zh-CN	A	2. 哪个动物被称为中国“国宝”？大熊猫
zh-CN_036	zh-CN	B	2. 哪个动物被称为中国“国宝”？金丝猴
zh-CN_036	zh-CN	C	2. 哪个动物被称为中国“国宝”？藏羚羊
zh-CN_036	zh-CN	D	2. 哪个动物被称为中国“国宝”？白鹇
zh-CN_037	zh-CN	A	3. 中国的首都是哪个城市？上海
zh-CN_037	zh-CN	B	3. 中国的首都是哪个城市？北京
zh-CN_037	zh-CN	C	3. 中国的首都是哪个城市？深圳
zh-CN_037	zh-CN	D	3. 中国的首都是哪个城市？重庆
zh-CN_038	zh-CN	A	4. 中国的“端午节”通常是为了纪念哪位古代文学家？杜牧
zh-CN_038	zh-CN	B	4. 中国的“端午节”通常是为了纪念哪位古代文学家？苏轼
zh-CN_038	zh-CN	C	4. 中国的“端午节”通常是为了纪念哪位古代文学家？屈原
zh-CN_038	zh-CN	D	4. 中国的“端午节”通常是为了纪念哪位古代文学家？白居易
zh-CN_039	zh-CN	A	5. 中国的“母亲河”是哪条河流？黄河
zh-CN_039	zh-CN	B	5. 中国的“母亲河”是哪条河流？长江
zh-CN_039	zh-CN	C	5. 中国的“母亲河”是哪条河流？珠江
zh-CN_039	zh-CN	D	5. 中国的“母亲河”是哪条河流？黄浦江
es-ES_040	es-ES	A	¿Quién es el presidente de España?José Luis Rodríguez Zapatero
es-ES_040	es-ES	B	¿Quién es el presidente de España?Mariano Rajoy
es-ES_040	es-ES	C	¿Quién es el presidente de España?Pedro Sánchez
es-ES_040	es-ES	D	¿Quién es el presidente de España?Alberto Núñez Feijó
es-ES_041	es-ES	A	¿Cuál es el deporte más popular en España?Fútbol
es-ES_041	es-ES	B	¿Cuál es el deporte más popular en España?Baloncesto
es-ES_041	es-ES	C	¿Cuál es el deporte más popular en España?Criquet
es-ES_041	es-ES	D	¿Cuál es el deporte más popular en España?Golf
es-ES_042	es-ES	A	¿Cuál es la obra literaria española más reconocida internacionalmente?El cantar del Mío Cid
es-ES_042	es-ES	B	¿Cuál es la obra literaria española más reconocida internacionalmente?Don Quijote de la Mancha
es-ES_042	es-ES	C	¿Cuál es la obra literaria española más reconocida internacionalmente?Las aventuras de Huckleberry Finn
es-ES_042	es-ES	D	¿Cuál es la obra literaria española más reconocida internacionalmente?Los tres mosqueteros
es-ES_043	es-ES	A	¿Por qué monumento romano es conocida la ciudad de Segovia?La Giralda
es-ES_043	es-ES	B	¿Por qué monumento romano es conocida la ciudad de Segovia?El palacio de la Alhambra
es-ES_043	es-ES	C	¿Por qué monumento romano es conocida la ciudad de Segovia?La fuente de la Cibeles
es-ES_043	es-ES	D	¿Por qué monumento romano es conocida la ciudad de Segovia?El acueducto
es-ES_044	es-ES	A	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?Madrid
es-ES_044	es-ES	B	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?Sevilla
es-ES_044	es-ES	C	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?Barcelona
es-ES_044	es-ES	D	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?Cádiz
es-MX_045	es-MX	A	¿Cuáles son los colores de la bandera del país?Verde, Amarillo, Rojo
es-MX_045	es-MX	B	¿Cuáles son los colores de la bandera del país?Verde, Blanco, Rojo
es-MX_045	es-MX	C	¿Cuáles son los colores de la bandera del país?Blanco, Rojo, Cafe
es-MX_045	es-MX	D	¿Cuáles son los colores de la bandera del país?Rojo, Naranja, Negro
es-MX_046	es-MX	A	¿Quién fue el autor del himno nacional?Francisco I. Madero
es-MX_046	es-MX	B	¿Quién fue el autor del himno nacional?Miguel Hidalgo
es-MX_046	es-MX	C	¿Quién fue el autor del himno nacional?Jaime Nunó
es-MX_046	es-MX	D	¿Quién fue el autor del himno nacional?Benito Juarez
es-MX_047	es-MX	A	¿Cuál es la capital del país?Monterrey
es-MX_047	es-MX	B	¿Cuál es la capital del país?Guadalajara
es-MX_047	es-MX	C	¿Cuál es la capital del país?Queretaro
es-MX_047	es-MX	D	¿Cuál es la capital del país?Ciudad de México
es-MX_048	es-MX	A	¿Quién es el presidente del país?Felipe Calderon Hinojosa
es-MX_048	es-MX	B	¿Quién es el presidente del país?Andres Manuel Lopez Obrador
es-MX_048	es-MX	C	¿Quién es el presidente del país?Ciro Gomez Leiva
es-MX_048	es-MX	D	¿Quién es el presidente del país?Enrique Peña Nieto
es-MX_049	es-MX	A	¿Cual es la comida callejera más típica en el país?Atun
es-MX_049	es-MX	B	¿Cual es la comida callejera más típica en el país?Hot Dogs
es-MX_049	es-MX	C	¿Cual es la comida callejera más típica en el país?Tacos
es-MX_049	es-MX	D	¿Cual es la comida callejera más típica en el país?Paella
id-ID_050	id-ID	A	Siapa presiden pertama Indonesia?Soekarno
id-ID_050	id-ID	B	Siapa presiden pertama Indonesia?Megawati Soekarnoputri
id-ID_050	id-ID	C	Siapa presiden pertama Indonesia?Mohammad Hatta
id-ID_050	id-ID	D	Siapa presiden pertama Indonesia?Soeharto
id-ID_051	id-ID	A	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?15 Agustus 1948
id-ID_051	id-ID	B	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?17 Agustus 1929
id-ID_051	id-ID	C	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?17 Agustus 1945
id-ID_051	id-ID	D	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?17 September 1950
id-ID_052	id-ID	A	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?Pulang Besar
id-ID_052	id-ID	B	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?Mudik
id-ID_052	id-ID	C	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?Bedol Desa
id-ID_052	id-ID	D	Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?Arus Balik
id-ID_053	id-ID	A	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?Betamart
id-ID_053	id-ID	B	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?Toko Indonesia
id-ID_053	id-ID	C	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?Jakarta
id-ID_053	id-ID	D	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?Indomaret
id-ID_054	id-ID	A	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?Pengumpulan
id-ID_054	id-ID	B	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?Upacara
id-ID_054	id-ID	C	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?Wisuda
id-ID_054	id-ID	D	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?Barisan
ko-KR_055	ko-KR	A	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?딤섬
ko-KR_055	ko-KR	B	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?김밥
ko-KR_055	ko-KR	C	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?칼국수
ko-KR_055	ko-KR	D	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?닭도리탕
ko-KR_056	ko-KR	A	한국의 대표적인 전통 놀이가 아닌 것은?고무줄놀이
ko-KR_056	ko-KR	B	한국의 대표적인 전통 놀이가 아닌 것은?스모
ko-KR_056	ko-KR	C	한국의 대표적인 전통 놀이가 아닌 것은?딱지치기
ko-KR_056	ko-KR	D	한국의 대표적인 전통 놀이가 아닌 것은?윷놀이
ko-KR_057	ko-KR	A	한국 전래동화 속 나쁜 사람은?직녀
ko-KR_057	ko-KR	B	한국 전래동화 속 나쁜 사람은?심청이
ko-KR_057	ko-KR	C	한국 전래동화 속 나쁜 사람은?콩쥐
ko-KR_057	ko-KR	D	한국 전래동화 속 나쁜 사람은?놀부
ko-KR_058	ko-KR	A	한국에서 이삿날 먹는 음식으로 유명한 것은?짜장면
ko-KR_058	ko-KR	B	한국에서 이삿날 먹는 음식으로 유명한 것은?삼계탕
ko-KR_058	ko-KR	C	한국에서 이삿날 먹는 음식으로 유명한 것은?순두부찌개
ko-KR_058	ko-KR	D	한국에서 이삿날 먹는 음식으로 유명한 것은?파스타
ko-KR_059	ko-KR	A	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?홍대
ko-KR_059	ko-KR	B	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?명동
ko-KR_059	ko-KR	C	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?노량진
ko-KR_059	ko-KR	D	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?혜화
el-GR_060	el-GR	A	1. Ποιος είναι ο πρωθυπουργός της ΕλλάδαςΚυριάκος Μητσοτάκης
el-GR_060	el-GR	B	1. Ποιος είναι ο πρωθυπουργός της ΕλλάδαςΑλέξης Τσίπρας
el-GR_060	el-GR	C	1. Ποιος είναι ο πρωθυπουργός της ΕλλάδαςΑντώνης Σαμαράς
el-GR_060	el-GR	D	1. Ποιος είναι ο πρωθυπουργός της ΕλλάδαςΚώστας Καραμανλής
el-GR_061	el-GR	A	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;Ο Παρθενώνας
