id	lang_region	option_letter	input_text
ms-SG_005	ms-SG	D	The answer to "Singapore celebrates National Day every year in which month?" is: August.
ms-SG_006	ms-SG	A	Which iconic Singaporean arts center is better known as the "big durian"? Marina Bay Sands
ms-SG_006	ms-SG	B	Which iconic Singaporean arts center is better known as the "big durian"? The Arts House
ms-SG_006	ms-SG	C	Which iconic Singaporean arts center is better known as the "big durian"? Victoria Theatre
ms-SG_006	ms-SG	D	Which iconic Singaporean arts center is better known as the "big durian"? The Esplanade
ms-SG_007	ms-SG	A	The answer to 'What is Singapore's official currency?' is: Ringgit.
ms-SG_007	ms-SG	B	The answer to 'What is Singapore's official currency?' is: Baht.
ms-SG_007	ms-SG	C	The answer to 'What is Singapore's official currency?' is: Dollar.
ms-SG_007	ms-SG	D	The answer to 'What is Singapore's official currency?' is: Rupiah.
ta-SG_008	ta-SG	A	The answer to "What is the common abbreviation for public housing units where most Singaporeans live?" is: DBS.
ta-SG_008	ta-SG	B	The answer to "What is the common abbreviation for public housing units where most Singaporeans live?" is: HPB.
ta-SG_008	ta-SG	C	The answer to "What is the common abbreviation for public housing units where most Singaporeans live?" is: HDB.
ta-SG_008	ta-SG	D	The answer to "What is the common abbreviation for public housing units where most Singaporeans live?" is: SAF.
ta-SG_009	ta-SG	A	The answer to "Which political party has been Singapore's ruling party since 1959?" is: Workers' Party (WP).
ta-SG_009	ta-SG	B	The answer to "Which political party has been Singapore's ruling party since 1959?" is: The People's Action Party (PAP).
ta-SG_009	ta-SG	C	The answer to "Which political party has been Singapore's ruling party since 1959?" is: Singapore Democratic Party (SDP).
ta-SG_009	ta-SG	D	The answer to "Which political party has been Singapore's ruling party since 1959?" is: the Singapore People's Action Party (PSP).
ta-SG_010	ta-SG	A	The answer to "What is the official symbol of Singapore, a mythical creature with the head of a lion and the body of a fish?" is: The Merlion.
ta-SG_010	ta-SG	B	The answer to "What is the official emblem of Singapore, a mythical creature with the head of a lion and the body of a fish?" is: Singa the Courtesy Lion.
ta-SG_010	ta-SG	C	The answer to "What is the official emblem of Singapore, a mythical creature with the head of a lion and the body of a fish?" is: The Asian Otter.
ta-SG_010	ta-SG	D	The answer to "What is the official emblem of Singapore, a mythical creature with the head of a lion and the body of a fish?" is: Vanda Miss Joaquim.
ta-SG_011	ta-SG	A	The answer to "What is the name of Singapore's premier international airport, frequently ranked among the world's best?" is: Seletar Airport.
ta-SG_011	ta-SG	B	The answer to "What is the name of Singapore's premier international airport, frequently ranked among the world's best?" is: Changi Airport.
ta-SG_011	ta-SG	C	The answer to "What is the name of Singapore's primary international airport, frequently ranked among the world's best?" is: Paya Lebar Airport.
ta-SG_011	ta-SG	D	The answer to "What is the name of Singapore's premier international airport, frequently ranked among the world's best?" is: Marina Bay Airport.
ta-SG_012	ta-SG	A	The answer to "In which month does Singapore celebrate its National Day every year?" is: February.
ta-SG_012	ta-SG	B	The answer to "In which month does Singapore celebrate its National Day every year?" is: July.
ta-SG_012	ta-SG	C	The answer to "In which month does Singapore celebrate its National Day each year?" is: September.
ta-SG_012	ta-SG	D	The answer to "In which month does Singapore celebrate its National Day every year?" is: August.
ta-SG_013	ta-SG	A	The answer to "What is the name of Singapore's iconic arts center, commonly referred to as 'Big Durians' in colloquial speech?" is: Marina Bay Sands.
ta-SG_013	ta-SG	B	The answer to "What is the name of Singapore's iconic arts center, commonly referred to as 'Big Durians' in colloquial speech?" is: The Arts House.
ta-SG_013	ta-SG	C	What is the name of Singapore's iconic arts center, commonly referred to as "Big Durians"? It's the Victoria Theatre.
ta-SG_013	ta-SG	D	What is the name of Singapore's iconic arts center, commonly referred to as "Big Durians" in colloquial speech? It’s The Esplanade.
ta-SG_014	ta-SG	A	The answer to "What is Singapore's official currency?" is: the Ringgit.
ta-SG_014	ta-SG	B	The answer to "What is Singapore's official currency?" is: the Baht.
ta-SG_014	ta-SG	C	The answer to "What is Singapore's official currency?" is: Silver (Dollar).
ta-SG_014	ta-SG	D	The answer to "What is Singapore's official currency?" is: the Rupiah.
zh-SG_015	zh-SG	A	What is the common abbreviation for public housing, where most Singaporeans live? DBS
zh-SG_015	zh-SG	B	What is the common abbreviation for public housing, where most Singaporeans live? HPB
zh-SG_015	zh-SG	C	What is the common abbreviation for public housing, where most Singaporeans live? HDB
zh-SG_015	zh-SG	D	What is the common abbreviation for public housing, where most Singaporeans live? SAF
zh-SG_016	zh-SG	A	Since 1959, which party has been Singapore's ruling party? The Workers' Party (WP)
zh-SG_016	zh-SG	B	Since 1959, which political party has been Singapore's ruling party? The People's Action Party (PAP)
zh-SG_016	zh-SG	C	Since 1959, which political party has been Singapore's ruling party? The Singapore Democratic Party (SDP)
zh-SG_016	zh-SG	D	Since 1959, which political party has been Singapore's ruling party? The Progress Singapore Party (PSP)
zh-SG_017	zh-SG	A	What is Singapore's official mascot? It’s a mysterious creature with the head of a lion and the body of a fish—the Merlion.
zh-SG_017	zh-SG	B	What is Singapore's official mascot? It’s a mysterious creature with the head of a lion and the body of a fish—Singa the Courtesy Lion.
zh-SG_017	zh-SG	C	What is Singapore's official mascot? It’s a mysterious creature with the head of a lion and the body of a fish—the Asian Otter.
zh-SG_017	zh-SG	D	What is Singapore's official mascot? It’s a mysterious creature with the head of a lion and the body of a fish: the Vanda Miss Joaquim orchid.
zh-SG_018	zh-SG	A	Which is Singapore's main international airport? It’s frequently ranked among the world’s best airports. Seletar Airport
zh-SG_018	zh-SG	B	Which is Singapore's main international airport? It’s frequently ranked among the world’s best airports: Changi Airport.
zh-SG_018	zh-SG	C	Which is Singapore's main international airport? It’s frequently ranked among the world’s best airports. Paya Lebar Airport
zh-SG_018	zh-SG	D	Which is Singapore's main international airport? It’s frequently ranked among the world’s best airports: Marina Bay Airport.
zh-SG_019	zh-SG	A	What month is Singapore's National Day celebrated each year? February.
zh-SG_019	zh-SG	B	What month is Singapore's National Day celebrated each year? July.
zh-SG_019	zh-SG	C	What month is Singapore's National Day each year? September.
zh-SG_019	zh-SG	D	What month is Singapore's National Day celebrated each year? August.
zh-SG_020	zh-SG	A	Which iconic art center in Singapore is colloquially known as the "Big Durian"? Marina Bay Sands
zh-SG_020	zh-SG	B	Which iconic art center in Singapore is colloquially known as "The Big Durian"? The Arts House at the Old Parliament Building
zh-SG_020	zh-SG	C	Which iconic art center in Singapore is colloquially known as the "Big Durian"? Victoria Theatre
zh-SG_020	zh-SG	D	Which iconic art center in Singapore is colloquially known as the "Big Durian"? The Esplanade.
zh-SG_021	zh-SG	A	What is Singapore's official currency? The Ringgit
zh-SG_021	zh-SG	B	What is Singapore's official currency? Thai Baht
zh-SG_021	zh-SG	C	What is Singapore's official currency? The dollar.
zh-SG_021	zh-SG	D	What is Singapore's official currency? The Rupiah.
es-EC_022	es-EC	A	The answer to 'What is the most populous city in Ecuador?' is: Quito.
es-EC_022	es-EC	B	The answer to "What is the most populous city in Ecuador?" is: Cuenca.
es-EC_022	es-EC	C	The answer to 'What is the most populous city in Ecuador?' is: Guayaquil.
es-EC_022	es-EC	D	The answer to "What is the most populous city in Ecuador?" is: Ambato.
es-EC_023	es-EC	A	The answer to 'How many provinces does Ecuador have?' is: 20.
es-EC_023	es-EC	B	The answer to 'How many provinces does Ecuador have?' is: 22.
es-EC_023	es-EC	C	The answer to 'How many provinces does Ecuador have?' is: 24.
es-EC_023	es-EC	D	The answer to 'How many provinces does Ecuador have?' is: 26.
es-EC_024	es-EC	A	The answer to "What is the highest point in Ecuador and the closest to outer space?" is: Cotopaxi.
es-EC_024	es-EC	B	The answer to "What is the highest point in Ecuador and the closest to outer space?" is: Cayambe.
es-EC_024	es-EC	C	The answer to "What is the highest point in Ecuador and the closest to outer space?" is: Chimborazo.
es-EC_024	es-EC	D	The answer to 'What is the highest point in Ecuador and the closest to outer space?' is: Antisana.
es-EC_025	es-EC	A	The answer to "What name does Ecuador receive due to its geographical and cultural diversity?" is: The Country of Volcanoes.
es-EC_025	es-EC	B	The answer to "What name does Ecuador receive due to its geographical and cultural diversity?" is: The Country of the Four Worlds.
es-EC_025	es-EC	C	The answer to 'What name does Ecuador receive due to its geographical and cultural diversity?' is: The Middle of the World.
es-EC_025	es-EC	D	The answer to "What name does Ecuador receive due to its geographical and cultural diversity?" is: The Heart of South America.
es-EC_026	es-EC	A	The answer to 'What has been Ecuador's official currency since the year 2000?' is: the Sucre.
es-EC_026	es-EC	B	The answer to 'What is the official currency of Ecuador since the year 2000?' is: Ecuadorian peso.
es-EC_026	es-EC	C	The answer to 'What is the official currency of Ecuador since the year 2000?' is: U.S. dollar.
es-EC_026	es-EC	D	The answer to 'What is the official currency of Ecuador since 2000?' is: Nuevo Sol.
es-EC_027	es-EC	A	The answer to "Which Ecuadorian place is famous for its biodiversity and for having inspired Charles Darwin's theory of evolution?" is: Amazonia.
es-EC_027	es-EC	B	The answer to 'Which Ecuadorian place is famous for its biodiversity and for having inspired Charles Darwin’s theory of evolution?' is: Galapagos Islands.
es-EC_027	es-EC	C	The answer to 'Which Ecuadorian place is famous for its biodiversity and for having inspired Charles Darwin's theory of evolution?' is: Isla de la Plata.
es-EC_027	es-EC	D	The answer to 'Which Ecuadorian place is famous for its biodiversity and for having inspired Charles Darwin's theory of evolution?' is: Isla Puná.
es-EC_028	es-EC	A	The answer to 'Which Ecuadorian city was declared a Cultural Heritage of Humanity by UNESCO in 1978?' is: Guayaquil.
es-EC_028	es-EC	B	The answer to 'Which Ecuadorian city was declared a Cultural Heritage of Humanity by UNESCO in 1978?' is: Cuenca.
es-EC_028	es-EC	C	The answer to 'Which Ecuadorian city was declared a Cultural Heritage of Humanity by UNESCO in 1978?' is: Quito.
es-EC_028	es-EC	D	The answer to 'Which Ecuadorian city was declared a Cultural Heritage of Humanity by UNESCO in 1978?' is: Loja.
es-EC_029	es-EC	A	The answer to 'Which Ecuadorian athlete won the country's first Olympic gold medal?' is: Richard Carapaz.
es-EC_029	es-EC	B	The answer to "Which Ecuadorian athlete won the country's first Olympic gold medal?" is: Jefferson Pérez.
es-EC_029	es-EC	C	The answer to "Which Ecuadorian athlete won the country's first Olympic gold medal?" is: Neisi Dajomes.
es-EC_029	es-EC	D	The answer to "Which Ecuadorian athlete won the country's first Olympic gold medal?" is: Andrés Gómez.
en-GB_030	en-GB	A	The answer to 'Which of these family holiday destinations is located in Cumbria?' is: Ben Nevis.
en-GB_030	en-GB	B	The answer to 'Which of these family holiday destinations is located in Cumbria?' is: The Lake District.
en-GB_030	en-GB	C	The answer to 'Which of these family holiday destinations is located in Cumbria?' is: Loch Ness.
en-GB_030	en-GB	D	The answer to 'Which of these family holiday destinations is located in Cumbria?' is: Snowdonia.
en-GB_031	en-GB	A	The answer to 'What is the name of Prince Harry’s wife?' is: Charlotte.
en-GB_031	en-GB	B	The answer to 'What is the name of Prince Harry’s wife?' is: Madeline.
en-GB_031	en-GB	C	The answer to 'What is the name of Prince Harry’s wife?' is: Meghan.
en-GB_031	en-GB	D	The answer to 'What is the name of Prince Harry’s wife?' is: Chloe.
en-GB_032	en-GB	A	The answer to 'Which kids show has a blue boat as its symbol?' is: Octonauts.
en-GB_032	en-GB	B	The answer to 'Which kids show has a blue boat as its symbol?' is: Grandpa in my Pocket.
en-GB_032	en-GB	C	The answer to 'Which kids show has a blue boat as its symbol?' is: Jack and the Neverland Pirates.
en-GB_032	en-GB	D	The answer to 'Which kids show has a blue boat as its symbol?' is: Blue Peter.
en-GB_033	en-GB	A	The answer to 'In which TV show would you expect to find Daleks and Cybermen?' is: Doctor Who.
en-GB_033	en-GB	B	The answer to 'In which TV show would you expect to find Daleks and Cybermen?' is: Humans.
en-GB_033	en-GB	C	The answer to 'In which TV show would you expect to find Daleks and Cybermen?' is: Thunderbirds.
en-GB_033	en-GB	D	The answer to 'In which TV show would you expect to find Daleks and Cybermen?' is: Emmerdale.
en-GB_034	en-GB	A	The answer to 'Which significant historical event took place in 1066?' is: Norman conquest.
en-GB_034	en-GB	B	The answer to 'Which significant historical event took place in 1066?' is: Great fire of London.
en-GB_034	en-GB	C	The answer to 'Which significant historical event took place in 1066?' is: Execution of Charles I.
en-GB_034	en-GB	D	The answer to 'Which significant historical event took place in 1066?' is: Death of Henry I.
zh-CN_035	zh-CN	A	1. What is China's National Day? January 1
zh-CN_035	zh-CN	B	1. What is China's National Day? May 1
zh-CN_035	zh-CN	C	1. What is China's National Day? July 1
zh-CN_035	zh-CN	D	1. What is China's National Day? October 1st
zh-CN_036	zh-CN	A	2. Which animal is known as China's "national treasure"? The giant panda
zh-CN_036	zh-CN	B	2. Which animal is known as China's "national treasure"? The golden snub-nosed monkey
zh-CN_036	zh-CN	C	2. Which animal is known as China's "national treasure"? The Tibetan antelope
zh-CN_036	zh-CN	D	2. Which animal is known as China's "national treasure"? The White Pheasant
zh-CN_037	zh-CN	A	3. What is the capital of China? Shanghai
zh-CN_037	zh-CN	B	3. What is the capital of China? Beijing
zh-CN_037	zh-CN	C	3. What is the capital of China? Shenzhen
zh-CN_037	zh-CN	D	3. What is the capital of China? Chongqing
zh-CN_038	zh-CN	A	4. China's "Dragon Boat Festival" is traditionally held to commemorate which ancient literary figure? Du Mu
zh-CN_038	zh-CN	B	4. China's "Dragon Boat Festival" is traditionally held to commemorate which ancient literary figure? Su Shi
zh-CN_038	zh-CN	C	4. China's "Dragon Boat Festival" is traditionally held to commemorate which ancient literary figure? Qu Yuan
zh-CN_038	zh-CN	D	4. Which ancient literary figure is China's "Dragon Boat Festival" traditionally held to commemorate? Bai Juyi
zh-CN_039	zh-CN	A	5. Which river is known as China's "Mother River"? The Yellow River
zh-CN_039	zh-CN	B	5. Which river is known as China's "Mother River"? The Yangtze River
zh-CN_039	zh-CN	C	5. Which river is known as China's "Mother River"? The Pearl River
zh-CN_039	zh-CN	D	5. Which river is known as China's "Mother River"? The Huangpu River
es-ES_040	es-ES	A	The answer to "Who is the president of Spain?" is: José Luis Rodríguez Zapatero.
es-ES_040	es-ES	B	The answer to "Who is the president of Spain?" is: Mariano Rajoy.
es-ES_040	es-ES	C	The answer to "Who is the president of Spain?" is: Pedro Sánchez.
es-ES_040	es-ES	D	The answer to "Who is the president of Spain?" is: Alberto Núñez Feijó.
es-ES_041	es-ES	A	The answer to 'What is the most popular sport in Spain?' is: Soccer.
es-ES_041	es-ES	B	The answer to "What is the most popular sport in Spain?" is: Basketball.
es-ES_041	es-ES	C	The answer to 'What is the most popular sport in Spain?' is: Cricket.
es-ES_041	es-ES	D	The answer to "What is the most popular sport in Spain?" is: Golf.
es-ES_042	es-ES	A	The answer to 'What is the most internationally recognized Spanish literary work?' is: El cantar del Mío Cid.
es-ES_042	es-ES	B	The answer to "What is the most internationally recognized Spanish literary work?" is: Don Quixote de la Mancha.
es-ES_042	es-ES	C	The answer to 'What is the most internationally recognized Spanish literary work?' is: The Adventures of Huckleberry Finn.
es-ES_042	es-ES	D	The answer to "What is the most internationally recognized Spanish literary work?" is: The Three Musketeers.
es-ES_043	es-ES	A	The answer to "Why is the city of Segovia known for its Roman monument?" is: La Giralda.
es-ES_043	es-ES	B	The answer to "Why is the city of Segovia known for a Roman monument?" is: The Alhambra Palace.
es-ES_043	es-ES	C	The answer to "Why is the city of Segovia known for a Roman monument?" is: The Fountain of Cibeles.
es-ES_043	es-ES	D	The answer to "Why is the city of Segovia known for a Roman monument?" is: The aqueduct.
es-ES_044	es-ES	A	The answer to 'Where were the 1992 Olympic Games held in Spain?' is: Madrid.
es-ES_044	es-ES	B	The answer to "Where were the 1992 Olympic Games held in Spain?" is: Seville.
es-ES_044	es-ES	C	The answer to 'Where were the 1992 Olympic Games held in Spain?' is: Barcelona.
es-ES_044	es-ES	D	The answer to "Where were the 1992 Olympic Games held in Spain?" is: Cádiz.
es-MX_045	es-MX	A	The answer to 'What are the colors of the country's flag?' is: Green, Yellow, Red.
es-MX_045	es-MX	B	The answer to 'What are the colors of the country's flag?' is: Green, White, Red.
es-MX_045	es-MX	C	The answer to 'What are the colors of the country's flag?' is: White, Red, Brown.
es-MX_045	es-MX	D	The answer to 'What are the colors of the country's flag?' is: Red, Orange, Black.
es-MX_046	es-MX	A	The answer to "Who was the author of the national anthem?" is: Francisco I. Madero.
es-MX_046	es-MX	B	The answer to 'Who was the author of the national anthem?' is: Miguel Hidalgo.
es-MX_046	es-MX	C	The answer to "Who was the author of the national anthem?" is: Jaime Nunó.
es-MX_046	es-MX	D	The answer to 'Who was the author of the national anthem?' is: Benito Juárez.
es-MX_047	es-MX	A	The answer to "What is the country's capital?" is: Monterrey.
es-MX_047	es-MX	B	The answer to "What is the country's capital?" is: Guadalajara.
es-MX_047	es-MX	C	The answer to 'What is the country's capital?' is: Querétaro.
es-MX_047	es-MX	D	The answer to 'What is the country's capital?' is: Mexico City.
es-MX_048	es-MX	A	The answer to "Who is the country's president?" is: Felipe Calderón Hinojosa.
es-MX_048	es-MX	B	The answer to "Who is the country's president?" is: Andrés Manuel López Obrador.
es-MX_048	es-MX	C	The answer to "Who is the country's president?" is: Ciro Gómez Leiva.
es-MX_048	es-MX	D	The answer to "Who is the country's president?" is: Enrique Peña Nieto.
es-MX_049	es-MX	A	The answer to 'What is the most typical street food in the country?' is: Tuna.
es-MX_049	es-MX	B	The answer to 'What is the most typical street food in the country?' is: Hot Dogs.
es-MX_049	es-MX	C	The answer to "What is the most typical street food in the country?" is: Tacos.
es-MX_049	es-MX	D	The answer to 'What is the most typical street food in the country?' is: Paella.
id-ID_050	id-ID	A	The answer to 'Who was the first president of Indonesia?' is: Soekarno.
id-ID_050	id-ID	B	The answer to 'Who was Indonesia's first president?' is: Megawati Soekarnoputri.
id-ID_050	id-ID	C	The answer to 'Who was the first president of Indonesia?' is: Mohammad Hatta.
id-ID_050	id-ID	D	The answer to 'Who was the first president of Indonesia?' is: Soeharto.
id-ID_051	id-ID	A	The answer to 'On what date did Indonesia proclaim its independence?' is: August 15, 1948.
id-ID_051	id-ID	B	The answer to 'On what date did Indonesia proclaim its independence?' is: August 17, 1929.
id-ID_051	id-ID	C	The answer to 'On what date did Indonesia proclaim its independence?' is: August 17, 1945.
id-ID_051	id-ID	D	The answer to 'On what date did Indonesia proclaim its independence?' is: September 17, 1950.
id-ID_052	id-ID	A	The answer to 'What is the term for the community's custom of returning to their hometowns to celebrate major holidays (such as Eid al-Fitr, Christmas, or Chinese New Year)?' is: Pulang Besar.
id-ID_052	id-ID	B	The answer to "What is the term for the community's custom of returning to their hometowns to celebrate major holidays (such as Eid al-Fitr, Christmas, or Chinese New Year's Day)?" is: Mudik.
id-ID_052	id-ID	C	The answer to "What is the term for the community custom of returning to their hometowns to celebrate major holidays (such as Eid al-Fitr, Christmas, or Chinese New Year's Day)?" is: Bedol Desa.
id-ID_052	id-ID	D	The answer to "What is the term for the community's custom of returning to their hometowns to celebrate major holidays (such as Eid al-Fitr, Christmas, or Chinese New Year's Day)?" is: Arus Balik.
id-ID_053	id-ID	A	The answer to 'What is the name of the minimarket commonly found in many places across Indonesia?' is: Betamart.
id-ID_053	id-ID	B	The answer to 'What is the name of the minimarket commonly found in many places across Indonesia?' is: Toko Indonesia.
id-ID_053	id-ID	C	The answer to "What is the name of the minimarket commonly found in many places across Indonesia?" is: Jakarta.
id-ID_053	id-ID	D	The answer to 'What is the name of the minimarket commonly found in many places across Indonesia?' is: Indomaret.
id-ID_054	id-ID	A	The answer to 'What is the name of the flag-raising event routinely attended by students or civil servants?' is: Gathering.
id-ID_054	id-ID	B	The answer to 'What is the name of the flag-raising ceremony regularly attended by students or civil servants?' is: Ceremony.
id-ID_054	id-ID	C	The answer to 'What is the name of the flag-raising event routinely attended by students or civil servants?' is: Graduation.
id-ID_054	id-ID	D	The answer to 'What is the name of the flag-raising event routinely attended by students or civil servants?' is: Barisan.
ko-KR_055	ko-KR	A	The answer to "What is the typical snack/food that comes to mind when you think of 'picnic' in Korea?" is: dim sum.
ko-KR_055	ko-KR	B	The answer to "What is the typical snack/food that comes to mind when you think of 'picnic' in Korea?" is: kimbap.
ko-KR_055	ko-KR	C	The answer to "What is the typical snack/food that comes to mind when you think of 'picnic' in Korea?" is: kalguksu.
ko-KR_055	ko-KR	D	The answer to "What is the typical snack/food that comes to mind when you think of 'picnic' in Korea?" is: Dakdoritang.
ko-KR_056	ko-KR	A	The answer to "Which of the following is NOT a representative traditional Korean game?" is: jump rope.
ko-KR_056	ko-KR	B	The answer to "Which is NOT a representative traditional Korean game?" is: Sumo.
ko-KR_056	ko-KR	C	The answer to "Which is NOT a representative traditional Korean game?" is: Ddakji.
ko-KR_056	ko-KR	D	The answer to "Which is NOT a representative traditional Korean game?" is: Yutnori.
ko-KR_057	ko-KR	A	The answer to "Who is the bad character in traditional Korean folktales?" is: Jiknyeo.
ko-KR_057	ko-KR	B	The answer to "Who is the bad character in traditional Korean folktales?" is: Simcheong.
ko-KR_057	ko-KR	C	The answer to "Who is the bad character in traditional Korean folktales?" is: Kongjwi.
ko-KR_057	ko-KR	D	The answer to "Who is the bad character in traditional Korean folktales?" is: Nolbu.
ko-KR_058	ko-KR	A	The answer to "What dish is famous as a traditional meal eaten on moving day in Korea?" is: Jajangmyeon.
ko-KR_058	ko-KR	B	The answer to "What dish is famous as a traditional meal eaten on moving day in Korea?" is: Samgyetang.
ko-KR_058	ko-KR	C	The answer to "What dish is famous as a traditional meal eaten on moving day in Korea?" is: sundubu-jjigae.
ko-KR_058	ko-KR	D	The answer to "What dish is famous as a moving-day food in Korea?" is: Pasta.
ko-KR_059	ko-KR	A	The answer to "Which area in Korea do people studying for the civil service exam primarily live in?" is: Hongdae.
ko-KR_059	ko-KR	B	The answer to "Which area in Korea do people studying for the civil service exam primarily live in?" is: Myeongdong.
ko-KR_059	ko-KR	C	The answer to "Which area in Korea do people who study for the civil service exam primarily live in?" is: Noryangjin.
ko-KR_059	ko-KR	D	The answer to "Which area in Korea do people who study for the civil service exam primarily live in?" is: Hyehwa.
el-GR_060	el-GR	A	1. Who is the Prime Minister of Greece, Kyriakos Mitsotakis?
el-GR_060	el-GR	B	1. Who is the Prime Minister of Greece, Alexis Tsipras?
el-GR_060	el-GR	C	1. Who is the Prime Minister of Greece, Antonis Samaras?
el-GR_060	el-GR	D	1. Who is Greece's Prime Minister, Kostas Karamanlis?
el-GR_061	el-GR	A	2. What is the most iconic landmark in the heart of Athens and serves as a symbol of Greece? The Parthenon
el-GR_061	el-GR	B	2. What is the most iconic landmark in the heart of Athens and serves as a symbol of Greece? The White Tower
el-GR_061	el-GR	C	2. What is the most iconic landmark in the heart of Athens and serves as a symbol of Greece? Syntagma Square
el-GR_061	el-GR	D	2. What is the most iconic landmark in the heart of Athens and serves as a symbol of Greece? The Temple of Olympian Zeus
el-GR_062	el-GR	A	3. What do we celebrate on October 28? Independence Day
el-GR_062	el-GR	B	3. What do we celebrate on October 28th? Saint Demetrius Day
el-GR_062	el-GR	C	3. What do we celebrate on October 28? The Polytechnic Anniversary
el-GR_062	el-GR	D	3. What do we celebrate on October 28th? The Anniversary of "No"
el-GR_063	el-GR	A	4. Who wrote the national anthem (Hymn to Liberty)? Giorgos Seferis
el-GR_063	el-GR	B	4. Who wrote the national anthem (Hymn to Liberty)? Dionysios Solomos
el-GR_063	el-GR	C	4. Who wrote the national anthem ("Hymn to Liberty")? Constantine Cavafy
el-GR_063	el-GR	D	4. Who wrote the national anthem ("Hymn to Liberty")? Odysseas Elytis
el-GR_064	el-GR	A	5. Which Greek city is also known as the “co-capital”? Patras
el-GR_064	el-GR	B	5. Which Greek city is also called the “co-capital”? Thessaloniki
el-GR_064	el-GR	C	5. Which Greek city is also known as the "co-capital"? Larissa
el-GR_064	el-GR	D	5. Which Greek city is also known as the “co-capital”? Heraklion
fa-IR_065	fa-IR	A	What is Iran's official religion? Christianity
fa-IR_065	fa-IR	B	What is Iran's official religion? Judaism
fa-IR_065	fa-IR	C	What is Iran's official religion? Islam
fa-IR_065	fa-IR	D	What is Iran's official religion? Zoroastrianism
fa-IR_066	fa-IR	A	Where is the capital of Iran? Mashhad
fa-IR_066	fa-IR	B	Where is the capital of Iran? Tehran
fa-IR_066	fa-IR	C	Where is the capital of Iran? Isfahan
fa-IR_066	fa-IR	D	Where is the capital of Iran? Rasht
fa-IR_067	fa-IR	A	What colors are on the flag of Iran? Green, blue, and white
fa-IR_067	fa-IR	B	What colors are featured on the Iranian flag? Red, white, and yellow.
fa-IR_067	fa-IR	C	What colors are featured on the Iranian flag? Blue, white, and black.
fa-IR_067	fa-IR	D	What colors are featured on the Iranian flag? Green, white, and red.
fa-IR_068	fa-IR	A	Which of these countries is a neighbor of Iran? Iraq
fa-IR_068	fa-IR	B	Which of these countries is a neighbor of Iran? Kuwait
fa-IR_068	fa-IR	C	Which of these countries is a neighbor of Iran? Uzbekistan
fa-IR_068	fa-IR	D	Which of these countries is a neighbor of Iran? Russia
fa-IR_069	fa-IR	A	What is the common language in Iran? Arabic
fa-IR_069	fa-IR	B	What is the common language in Iran? Persian
fa-IR_069	fa-IR	C	What is the common language in Iran? Turkish
fa-IR_069	fa-IR	D	What is the common language in Iran? Kurdish
ar-EG_070	ar-EG	A	Which of the following Egyptian governorates is known for mango cultivation? Ismailia
ar-EG_070	ar-EG	B	Which of the following Egyptian governorates is known for mango cultivation? Al-Fayoum
ar-EG_070	ar-EG	C	Which of the following Egyptian governorates is known for mango cultivation? Port Said
ar-EG_070	ar-EG	D	Which of the following Egyptian governorates is known for mango cultivation? Tanta
ar-EG_071	ar-EG	A	Who is the most famous Egyptian professional in the English Premier League? Ahmed Elmohamady
