id	question	option_A	option_B	option_C	option_D
fa-IR_068	کدام یک از این کشور ها همسایه ایران است؟	عراق	کویت	ازبکستان	روسیه
fa-IR_069	زبان رایج در ایران چیست؟	عربی	فارسی	ترکی	کردی
ar-EG_070	أى من المحافظات المصرية الآتية معروفة بزراعة المانجو؟	الإسماعيلية	الفيوم	بورسعيد	طنطا
ar-EG_071	من هو أشهر محترف مصري في الدوري الإنجليزي؟	أحمد المحمدي	محمد شوقي	محمد صلاح	أحمد فتحي
ar-EG_072	ما هو اسم الهرم الأكبر؟	خوفو	خفرع	رع	منكورع
ar-EG_073	ما اسم أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية؟	خان الخليلي	مصر الجديدة	التجمع الخامس	العاشر من رمضان
ar-EG_074	في أي يوم من شهر أكتوبر دخلت مصر أشهر حرب في تاريخها الحديث؟	الثالث	الرابع	الخامس	السادس
ar-EG_075	ما هو اسم اللغة المصرية القديمة؟	الأشورية	الهيلينية	الفرعونية	الهيروغليفية
ar-EG_076	ما هى أسماء البحرين اللذين تطل عليهم مصر؟	الأبيض والأحمر	الأبيض والأصفر	الأصفر والأحمر	الأصفر والأخضر
ar-MA_077	. ما هي عاصمة المغرب؟	الدار البيضاء	مراكش	الرباط	فاس
ar-MA_078	٢. ما هي العملة الرسمية للمغرب؟	الدينار	الدرهم	الريال	اليورو
ar-MA_079	"٣. أي مدينة مغربية تشتهر بلقب ""المدينة الزرقاء""؟"	طنجة	شفشاون	الصويرة	أغادير
ar-MA_080	٤. ما هو المشروب الوطني الأكثر شعبية في المغرب ويُقدَّم كرمز للضيافة؟	القهوة	عصير البرتقال	الشاي بالنعناع	الحليب باللوز
ar-MA_081	٥. ما اسم السلسلة الجبلية الرئيسية التي تمتد عبر المغرب؟	جبال الألب	جبال البرانس	جبال الأطلس	جبال القوقاز
ar-MA_082	٦. أي من هذه الأطباق هو طبق مغربي تقليدي يتكون من السميد ويُقدَّم غالبًا مع اللحم والخضروات؟	الكسكس	الطاجين	الحريرة	البسطيلة
ar-MA_083	٧. ما هو المصطلح الذي يطلق على السوق التقليدي في المغرب؟	قصبة	رياض	سوق	مدينة
ar-SA_084	١- أي من مناطق المملكة العربية السعودية مشهورة بزراعة المانجو خلال فصل الصيف؟	الطائف	أبها	تبوك	جازان
ar-SA_085	٢- من هو الفنان الملقب بفنان العرب بالمملكة العربية السعودية؟	راشد الماجد	محمد عبده	رابح صقر	طلال مداح
ar-SA_086	٣- ما هو اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس (يوم التأسيس السعودي)؟	٢٢ فبراير	٣٠ فبراير	٢٣ سبتمبر	٢٢ سبتمبر
ar-SA_087	٤- ما هو اليوم الوطني السنوي الذي تحتفل فيه المملكة العربية السعودية؟	٢٢ فبراير	٣٠ فبراير	٢٣ سبتمبر	٢٢ سبتمبر
ar-SA_088	٥- من هو أفضل لاعب سعودي حاليا بنادي الهلال السعودي؟	عبدالرحمن غريب	سلطان الغنّام	محمد الشلهوب	سالم الدوسري
ar-SA_089	٦- في أي مدينة يقع قصر المصمك التاريخي؟	المدينة	الرياض	مكة المكرمة	الدمام
ar-SA_090	٧- ما هي المدينة المشهورة بزراعة وتجارة الورد في المملكة العربية السعودية؟	الطائف	الباحة	أبها	القصيم
en-AU_091	What are 3 things every Australian town had when it was first formed?	church, post office, pub	church, dance hall, milkbar	milkbar, church, shopping centre	grocery store, gas station, pharmacy
en-AU_092	What footy team would Bob barrack for if his grandfather lived in Fitzroy?	Brisbane Lions	Essendon	Carlton	Bombers
en-AU_093	Where did the first fleet arrive in Australia?	Botany Bay, NSW	Queensland, Brisbane	Melbourne, Victoria	Perth, Western Australia
en-AU_094	What is a common four-word Australian phrase?	"""Don't worry about tomorrow!"""	"""Handle your losses well"""	"""She'll be right, mate"""	"""Patty on the barbie"""
en-AU_095	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?	Australia	Red Dog	The Tracker	Crocodile Dundee
en-AU_096	Who was the most loved Australian prime minister?	Daniel Andres	John Howard	Tony Abbott	Bob Hawke
en-AU_097	What do Australians need to do to prevent fires in summer?	Water their gardens	Install fire management systems around their properties	Controlled burning/ hazard reduction burning	Plant more trees in their yards
eu-ES_098	Zein da Euskal Herriko janari azkar tradizional tipikoena?	Cicchetti	Sandwich	Pintxo	Kebab
eu-ES_099	Zein da Euskal Herriko kirol tradizional ezagunena?	Esku-pilota	Futbola	Saskibaloia	Hockeya
eu-ES_100	Zein da Euskal Herriko kirolik jarraituena?	Esku-pilota	Futbola	Saskibaloia	Hockeya
eu-ES_101	Zein da Euskal Herriko dantza tradizional ezagunena?	Flamenco	Sardana	Aurresku	Jota
eu-ES_102	Tradizionalki, zer erabili dute gizonek burua estaltzeko Euskal Herrian?	Txapela	Bisera	Zapia	Kaputxa
eu-ES_103	Nola deitzen da Euskal Herriko poesia inprobisatua?	Txapela	Theater	Bertsolaritza	Maskarada
eu-ES_104	Zein da Euskal Herrian bertako hizkuntzan idatzia den egunkari ezagunena? / What is the most well-known newspaper written in the local language in the Basque Country?	Deia	Berria	Marca	Diario Vasco
fr-FR_105	Que ferai-je avec cette alouette?	Je la plumerai	Je siffloterai en choeur avec elle	Je lui caresserai la tête	Je la libèrerai de sa cage
fr-FR_106	De quelle couleur sont tous les chats la nuit ?	beiges	noirs	gris	blancs
fr-FR_107	Que sert-on habituellement avec une côte de bœuf ?	Un champagne	Un vin blanc sec	Un vin blanc sucré	Un vin rouge
fr-FR_108	Que font en premier les canards en sortant de l'eau ?	Ils pondent un oeuf	Ils font coin coin	ils se secouent le bas des reins	Ils se prennent le bec
fr-FR_109	Qu'est ce qu'une chocolatine ?	Un chocolat avec de la nougatine	Un petit éclair au chocolat recouvert de noisettes	Un mini gâteau au chocolat servi avec le café	Un pain au chocolat
fr-FR_110	Cette année-là, je chantais...	Pour et juste pour toi	Pour la belle Mathilda	Pour la première fois	Pour oublier le froid
fr-FR_111	Quel fromage mange-t-on le plus souvent chaud avec une salade ?	Du camembert	Du reblochon	Du chèvre	Du rocquefort
fr-FR_112	Quel fruit change de nom lorsqu'il est séché ?	L’abricot	La prune	Le raisin	La tomate
ga-IE_113	Is minic a thugtar ar Éirinn:	Tír na Naomh agus na Scoláirí	An Tír Íseal	Tír na Deise	An tÚll Mór
ga-IE_114	Cé acu duine atá cáiliúil as a ról i gCath Chluain Tarbh?	An Rí Anraí VIII	Brian Boru	Michael Collins	Brian O’Driscoll
ga-IE_115	Cé acu duine is dornálaí Éireannach cáiliúil?	Katie Taylor	Michelle O’Neill	Andrea Corr	Susan Jones
ga-IE_116	Cén spórt a bhaineann leis na “Sé Náisiún”?	Sacar	Rugbaí	Snámh	Iománaíocht
ga-IE_117	Cé acu de na cainéal teilifíse Éireannach seo a leanas?	RTÉ	MTV	Discovery Channel	Nickelodeon
ga-IE_118	Cén chúige ina bhfuil príomhchathair na hÉireann suite?	Mumhan	Laighean	Ulaidh	Connacht
ga-IE_119	Cá mbíonn cluichí ceannais na hÉireann a imrítear de ghnáth don iománaíocht agus don pheil Ghaelach?	Staidiam Aviva	Páirc Uí Chaoimh	Páirc an Chrócaigh	An RDS
ta-LK_120	இலங்கையின் தற்போதைய ஜனாதிபதி யார்?	ரணில் விக்கிரமசிங்க	அனுர குமார திஸாநாயக்க	மகிந்த ராஜபக்ஷ	கோட்டாபய ராஜபக்ஷ
ta-LK_121	இலங்கையில் மிக உயரமான கட்டிடம் எது?	தாமரைக் கோபுரம் (Lotus Tower)	ஒன் கால்பேஸ் (One Galle Face)	கோகாவில்க் கோபுரம் (Kokavil Tower)	உலக வர்த்தக மையக் கோபுரம் (World Trade Center Tower)
ta-LK_122	பெரஹேரா (Perahera) விழாவில் முக்கியமாக பங்கேற்கும் விலங்கு எது?	யானை	குதிரை	மயில்	மாடு
ta-LK_123	புகழ்பெற்ற டளடா மாளிகை (Temple of the Tooth) இலங்கையின் எந்த மாகாணத்தில் உள்ளது?	மத்திய மாகாணம்	கிழக்கு மாகாணம்	தெற்கு மாகாணம்	மேற்கு மாகாணம்
ta-LK_124	இலங்கை தேசியக்கொடியில் காணப்படும் விலங்கு எது?	சிங்கம்	புலி	யானை	மயில்
ta-LK_125	2004 டிசம்பரில் இலங்கையில் ஏற்பட்ட பெரும் சேதமும் உயிரிழப்பும் ஏற்படுத்திய இயற்கை பேரழிவு எது?	சுழல்காற்று	சுனாமி	காட்டுத் தீ	வெள்ளம்
ta-LK_126	இலங்கையின் வர்த்தக தலைநகரம் எது?	கொழும்பு	கண்டி	யாழ்ப்பாணம்	காலி
tl-PH_127	Ano ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon?	Baro't Saya	Kimona	Barong Tagalog	Salakot
tl-PH_128	Alin sa mga sumusunod ang pangunahing sangkap ng adobo?	Luya at gata	Toyo at suka	Asukal at gatas	Bagoong at kamatis
tl-PH_129	Ano ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan?	Pandanggo sa Ilaw	Tinikling	Carinosa	Maglalatik
tl-PH_130	Sino ang tinaguriang pambansang bayani ng Pilipinas?	Andres Bonifacio	Emilio Aguinaldo	Apolinario Mabini	Jose Rizal
tl-PH_131	Alin sa mga sumusunod ang isang halimbawa ng harana?	Pagbibigay ng regalo tuwing Pasko	Pag-awit sa ilalim ng bintana ng nililigawan	Pagkanta sa karaoke kasama ang pamilya	Pagpapanood ng sine tuwing Sabado
tl-PH_132	Aling buwan karaniwang ginaganap ang Buwan ng Wika sa Pilipinas?	Hunyo	Agosto	Setyembre	Oktubre
tl-PH_133	Anong tawag sa maliliit na lokal na government unit o komunidad sa Pilipinas na pinamumunuan ng kapitan?	Barangay	Tribo	Sultanato	Lalawigan
tl-PH_134	Ano ang tradisyon ng mga Pilipino tuwing gabi ng Pasko kung saan dumadalo sa misa mula Disyembre 16 hanggang 24?	Pabasa	Simbang Gabi	Misa de Gallo	Pasyon
bg-BG_135	Коя е столицата на България?	Пловдив	Варна	София	Русе
bg-BG_136	Кой е националният празник на България?	3 март	6 май	24 май	1 март
bg-BG_137	Как се казва българската азбука?	Латиница	Гръцка	Глаголица	Кирилица
bg-BG_138	Кой български революционер е известен като Апостола на свободата?	Христо Ботев	Георги Бенковски	Панайот Волов	Васил Левски
bg-BG_139	Какво празнуваме на 24 май?	Великден	Ден на независимостта	Ден на труда	Ден на българската просвета и култура и на славянската писменост
bg-BG_140	Кой е авторът на романа „Под игото“?	Алеко Константинов	Пенчо Славейков	Иван Вазов	Пейо Яворов
bg-BG_141	Кое ястие е традиционно българско?	Пица	Шопска салата	Суши	Бургер
ja-JP_142	日本の2025年現在の年号は何ですか？	昭和	令和	平成	明治
ja-JP_143	日本の一般的な朝ごはんといえばどれでしょう？	ピザ	味噌汁	バゲット	アイスクリーム
ja-JP_144	東京のシンボルといえばどれでしょう?	太陽の塔	電波塔	名古屋ドーム	東京タワー
ja-JP_145	東京で最も頭の良い私立大学はどこでしょう？	慶應	駒場	青学	中央
ja-JP_146	日本人が慣れ親しんだスポーツ飲料は？	ポカリ	ドクターペッパー	ゲータレード	レモネード
ja-JP_147	日本のお茶といえば？	グリーンティ	アールグレイ	カモミール	ジャスミンティー
ja-JP_148	コンビニで売ってないもの	おにぎり	タバコ	お酒	電車の切符
